ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
[Tặng Đồng Hồ] Giày Bốt Nam Cao Cổ Da Mềm Không Có Dây Đế Cao Su Mềm Cao 5cm Bảo Hành Da 12 Tháng,197220,350000,4.85,20,https://vn-live-01.slatic.net/p/a5782b6c1c3836f54581d08b0489ee42.jpg,Mikhoi Garden,Boots,https://www.lazada.vn/products/pdp-i2038581815.html
Giày Đốc nam cao cấp da bò đế kép siều bền chống trơn chượt,85635,220000,4.75,24,https://vn-live-01.slatic.net/p/d69aa9e13aa518bc57bd77569211bdc8.jpg,Shop Hạt Rẻ.,Boots,https://www.lazada.vn/products/pdp-i2019342331.html
"Giày Chealsea Boot Nam Cao Cổ Chất Đẹp Cao Cấp,Đế Khâu Siêu Bền, Tăng Chiều Cao 3cm Form Hàn Đủ size -Đen 2023",129000,250000,4.857843137254902,204,https://vn-live-01.slatic.net/p/f1705000d393f12da2bf8487b1085b0d.jpg,shopnam123,Boots,https://www.lazada.vn/products/pdp-i2132106413.html
JIFANPAUL | Warm Waterproof Men's High-top Leather Shoes,239000,,4.571428571428571,7,https://filebroker-cdn.lazada.vn/kf/Sf2357af2bbae4fdebbbaa48db78291f10.jpg,JIFANPAUL Global,Boots,https://www.lazada.vn/products/pdp-i3196058269.html
"Giày bốt đùi cổ V gót vuông 5cm, bốt nữ qua đầu gối 2 màu kem, đen cực xinh",99000,165000,5.0,4,https://vn-live-01.slatic.net/p/a9801545f828f92507480c2f13e65e56.jpg,shop giày nhật minh,Boots,https://www.lazada.vn/products/pdp-i2498623540.html
JIFANPAUL | Warm and Stylish Men's High-top Martin Boots,155000,,5.0,0,https://filebroker-cdn.lazada.vn/kf/S965a5dd6513849cba352d0d76e1228d40.jpg,JIFANPAUL Global,Boots,https://www.lazada.vn/products/pdp-i3197259777.html
AA18-Men Boots Men's Winter Shoes Fashion Snow Boots Shoes Plus Size Winter Sneakers Ankle Men Shoes Winter Boots Black Blue Footwear,102201,174058,,,https://sg-test-11.slatic.net/p/f3b5a7c1a16a83528b01f553295644de.jpg,Kadison Superior Products,Boots,https://www.lazada.vn/products/pdp-i2402053540.html
Giày cao cổ bốt nam cao cấp da bóng đế kép hót tred 2022,105000,220000,4.45,20,https://vn-live-01.slatic.net/p/d15a563f5e9ae667cb360a812e18919e.jpg,Shop Hạt Rẻ.,Boots,https://www.lazada.vn/products/pdp-i2019266580.html
[Tặng vớ khi mua kèm giày]Giày đốc cổ cao khóa kéo đế chucky tăng 4-5cm giày bốt nam đế cao,185000,350000,4.803370786516854,178,https://vn-live-01.slatic.net/p/09cb7d1911432bd7f2d62c888e46edf0.jpg,Lesangshop,Boots,https://www.lazada.vn/products/pdp-i2274764029.html
Mosi | High Heel Thick Sole Slimming Western Cowboy Ankle Boots,279000,669000,4.4375,16,https://filebroker-cdn.lazada.vn/kf/Sd678af251c9346bdbd6563c659676d0a7.jpg,MOSI Footwear,Boots,https://www.lazada.vn/products/pdp-i3192345905.html
Ready Stock! Caterpillar Men's Plain Soft-Toe Work Boots Caterpillar Men and Women Boots USA Cat Footwear Hiking Shoes Unisex Pos Now!,490000,752000,4.739583333333333,119,https://my-live-02.slatic.net/p/a84e0f835320bab35890b07b429bfc09.jpg,YISHEN SHOES,Boots,https://www.lazada.vn/products/pdp-i1258584624.html
"Huta Sports Screw-Lock Safety Shoes Are Anti-Nail, Anti-Slip, Anti-Toe Crushing, High-Necked, Genuine Products (Deodorizing Lining Included)",439000,600000,5.0,2,https://vn-live-01.slatic.net/p/e2ab05fe2dbf611e3f91ef7c58582c95.jpg,cnshopp,Boots,https://www.lazada.vn/products/pdp-i3211419547.html
Mosi | Women's Western Cowboy Tall Ankle Boots,366000,669000,4.766129032258065,135,https://filebroker-cdn.lazada.vn/kf/Sd330093e3db647be90712a9b8dcd3ea3U.jpg,MOSI Footwear,Boots,https://www.lazada.vn/products/pdp-i3192399414.html
"Thigh Boots with Padded Soles to Increase Height by 9cm Women's Leather Thigh Boots, Super Flattering, Super Warm Fur-Lined Leather Material Msp 1669",214620,239000,4.916666666666667,36,https://vn-live-01.slatic.net/p/de4bcfef9289adc6bc97fb47c8909586.jpg,GIAHAN'S STORE SHOES,Boots,https://www.lazada.vn/products/pdp-i2234547980.html
