ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Combo of 4 Doman Men's Underwear Boxer Cold Elastic Fabric Fashion Multi-Dimensional Stretch Menswear Briefs,85000,167770,4.933884297520661,484,https://vn-live-01.slatic.net/p/e52b37715ab17193ff37876107adeb4e.jpg,DOMAN,Briefs,https://www.lazada.vn/products/pdp-i2507481829.html
"Bộ 5 Quần lót nam ERIVIS lưng nhỏ, Vải thun lạnh cao cấp, co giãn 4 chiều, hàng VN chất lượng cao",125000,220000,4.946063701923077,6655,https://vn-live-01.slatic.net/p/25e5a4e412f89b19ff9c088da8f35c70.jpg,GIA NGUYỄN FASHION 1587634794,Briefs,https://www.lazada.vn/products/pdp-i551692187.html
"Combo of 4 Doman Men's Triangle Underwear with Simple, Youthful Patterns, Good Stretchy Elastic Fabric",93060,169000,4.9119170984455955,386,https://vn-live-01.slatic.net/p/a0743ba2fba44d79e74c479d13ca4f81.jpg,DOMAN,Briefs,https://www.lazada.vn/products/pdp-i2563634139.html
"Combo of 4 Men's Underwear in Full Black Elastic Fabric, Mixed Models of Men's Boxer Briefs",102900,175000,4.932461873638344,459,https://vn-live-01.slatic.net/p/6f2d4cea4ffef4731b6eb78f8fa883ab.jpg,DOMAN,Briefs,https://www.lazada.vn/products/pdp-i2817875760.html
"Combo of 10 Men's Cotton Underwear, Gentle, Breathable, Strong and Masculine..",34359,39000,4.723943661971831,355,https://vn-live-01.slatic.net/p/2ca8b4fb67f2546ab6237b084eaf0343.jpg,aso shop,Briefs,https://www.lazada.vn/products/pdp-i2676994968.html
Combo 5 Quần Lót Nam vải cotton lưng nhỏ - CITYMEN,47768,60000,4.929577464788732,142,https://filebroker-cdn.lazada.vn/kf/S87463abf4d6a4e4380679432f51ea9d8D.jpg,CITYMEN,Briefs,https://www.lazada.vn/products/pdp-i3034443859.html
Combo 10 Quần sịp đùi nam cotton cao cấp thời trang nam tính ....,38610,45000,4.702830188679245,212,https://vn-live-01.slatic.net/p/7267dca3276245d8873be8cb94395f76.jpg,aso shop,Briefs,https://www.lazada.vn/products/pdp-i2659867482.html
Combo 6 quần sịp đùi nam màu đen mix mã chất thun lạnh co giãn 4 chiều loại đẹp,104000,198000,4.863636363636363,22,https://vn-live-01.slatic.net/p/1be0cd9ddd45ae043c4ef56a8153d729.jpg,JAPA STORE,Briefs,https://www.lazada.vn/products/pdp-i2867398387.html
Combo 10 Quần lót nam cotton nhẹ nhàng thoáng khí nam tính mạnh mẽ ..,32163,39000,4.533333333333333,30,https://vn-live-01.slatic.net/p/ce0903d7ce0db3960bbdc2fe333caab1.jpg,aso shop,Briefs,https://www.lazada.vn/products/pdp-i2677079262.html
♥️   Reputable Shop ♥️   Combo of 5 Elastic Underwear in All Models - Sizes from 40 to 80kg - Women's Briefs - Code: 3026,71250,245000,4.966969446738233,1211,https://vn-live-01.slatic.net/p/1c7b73d7dd8f6b60948af34e62525087.png,đồ lót việt 89,Briefs,https://www.lazada.vn/products/pdp-i1051594158.html
RUNENBAOLUO Men's briefs Ice silk panties No traces Cool and breathable Men's briefs Men's underwear,30800,59400,5.0,115,https://vn-live-01.slatic.net/p/d3835df59ef57013739aff3397ac80a2.jpg,RUNENBAOLUO Store,Briefs,https://www.lazada.vn/products/pdp-i2603916179.html
[ 38kg - 90kg ] Bigsize Women's Underwear Super Big Cotton Super Elastic Thin Lightweight Breathable,21000,38000,4.947368421052632,57,https://vn-live-01.slatic.net/p/0a46bc42f7e51d0babb4a21b18ab5c26.jpg,Kiều Linh 111,Briefs,https://www.lazada.vn/products/pdp-i2743951523.html
