ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
ARCTIC HUNTER Men's business bag Briefcase shoulder bag A high-capacity crossbody bag essential for commuting,192000,322000,4.8686868686868685,139,https://my-live-02.slatic.net/p/42112adfdb50edc918b612006180b1f0.jpg,Polo R&L,Business Bags,https://www.lazada.vn/products/pdp-i1859682234.html
Tigernu Men Double-layer Backpack 17inch Laptop Backpack For Men Business Backpack Bag Casual Travel Bag Men Schoolbag,862710,999999,5.0,28,https://my-live-01.slatic.net/p/18c1869a58f50a8c6dfb3af502ec9736.jpg,Tigernu,Business Bags,https://www.lazada.vn/products/pdp-i3201227707.html
"Cặp da công sở, túi đựng laptop nhiều ngăn tiện dụng và sang trọng thanh lịch",256000,420000,5.0,1,https://filebroker-cdn.lazada.vn/kf/Sf6723bf9810d4640a2ae560e41980865d.jpg,Myshine shop ,Business Bags,https://www.lazada.vn/products/pdp-i3063470706.html
Super Beautiful Leather Office Briefcase 1791. Office Handbag. High Quality Leather Laptop Briefcase.,659055,1175000,4.923076923076923,39,https://vn-live-01.slatic.net/p/2e168c6c0fc4476950d4a575384b272f.jpg,San Leather Luxury,Business Bags,https://www.lazada.vn/products/pdp-i641304580.html
Túi xách nam công suất lớn Túi vai đơn Túi chống thấm nước và chống mài mòn Túi đa túi để làm kinh doanh Túi đeo chéo cho nam giới giải trí kinh doanh,33100,46400,4.841841004184101,1195,https://vn-live-01.slatic.net/p/08a7242f53553137fb407bfddcf409a2.jpg,fDAmz5.Selection,Business Bags,https://www.lazada.vn/products/pdp-i2539926570.html
nxdff Men's Leather Shoulder Bag Retro 17.3 Inch Laptop Briefcase Business Bag,477857,609528,5.0,3,https://sg-test-11.slatic.net/p/fbbb2b08f63fc6b7ef66495bd3d95e56.jpg,nxdff,Business Bags,https://www.lazada.vn/products/pdp-i3052006908.html
Feger | Men's Handbag Crossbody Bag Business Commuting Briefcase,670000,1658000,4.857142857142857,21,https://filebroker-cdn.lazada.vn/kf/Sc191bf1fa32c496794f6b90f9ffd4114m.jpg,FEGER,Business Bags,https://www.lazada.vn/products/pdp-i3178317512.html
AirStar Videng POLO Newest Men Genuine Leather Blocking Secure Briefcase Shoulder Business Bag Messenger Bags Working Bag,308270,536000,4.866666666666666,15,https://my-test-11.slatic.net/p/7/airstar-videng-polo-newest-men-genuine-leather-blocking-secure-briefcaseshoulder-business-bag-messenger-bags-working-bag-6760-767150651-3cd65ab334d31ca094f6d22e8f8ffcc8-catalog_233.jpg_670x670q75.jpg,2dcr5,Business Bags,https://www.lazada.vn/products/pdp-i1850974149.html
CONTACT'S Genuine Leather Laptop Bags for Men Business Messenger Shoulder Bags for 13.3/15.4/16 inch Laptop Male Computer Tote Bags,984628,2046115,4.842105263157895,23,https://my-live-01.slatic.net/p/e7fc04eef85891c90f703dc8caa9aac4.jpg,CONTACTS FLAGSHIP STORE,Business Bags,https://www.lazada.vn/products/pdp-i2399933174.html
Túi xách da nam công sở Fadoda FDC7,329000,750000,5.0,19,https://vn-live-01.slatic.net/p/46f679e08834a3ed2ff7dcf911bdf1ad.jpg,FADODA Leather,Business Bags,https://www.lazada.vn/products/pdp-i2517719516.html
Korean Business Men's Anti-theft Sling Bags Waterproof Travel Shoulder Sling Chest Bag pack For Men with USB Port,424000,715000,4.8,56,https://my-live-02.slatic.net/p/9c6f2b5cbcc3d812130d1e09f9aed652.jpg,YILIONGDAQI,Business Bags,https://www.lazada.vn/products/pdp-i380080754.html
"Cặp đựng laptop, cặp da công sở da bò thật nhiều ngăn tiện dụng rất thanh lịch và sang trọng",1540000,2200000,,,https://vn-live-01.slatic.net/p/0484b4f6c93e3fe99ead7c1cb30fbc26.jpg,BullCaptain Shop,Business Bags,https://www.lazada.vn/products/pdp-i2419517759.html
Cặp da công sở đựng laptop Fadoda FCD301,499000,870000,4.6,15,https://vn-live-01.slatic.net/p/c22323d6322ec7cde8c9164477d59c60.jpg,FADODA Leather,Business Bags,https://www.lazada.vn/products/pdp-i2738574395.html
Aldo Tourneur Men's Handbag,1225000,2450000,5.0,5,https://sg-test-11.slatic.net/p/b998d24dbe2926576c76427042431f72.jpg,ALDO,Business Bags,https://www.lazada.vn/products/pdp-i2710487741.html
Fadoda Fcd315 High-End Leather Office Briefcase,799000,1400000,5.0,1,https://vn-live-01.slatic.net/p/2929e57d805d40beabc4788e1031fb56.jpg,FADODA Leather,Business Bags,https://www.lazada.vn/products/pdp-i3184948808.html
"Cặp Đa Năng 452 Mr.Vui, balo nhiều ngăn dành cho văn phòng học sinh, cấp 2 ,cấp 3 chật liệu cao cấp",645000,,5.0,1,https://sg-test-11.slatic.net/p/024183870823ff02423f1d89c69872bf.png,MrVui Mall Store,Business Bags,https://www.lazada.vn/products/pdp-i3194961882.html
