ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Sandals for men new style trendy fashion soft bottom thick bottom height increase casual outdoor waterproof anti-slip seaside beach shoes fishing hiking trace wading slides driving dual-use flip flops men's slippers,226981,350000,4.8,10,https://my-live-01.slatic.net/p/89635f522c151c777254c21a1f8b1720.jpg,THCA,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i3075292581.html
BENY Store 2024 Melissa Cross Flip-flops Flat-heeled Jelly Sandals - Summer Fashion Slides (Malaysia),412000,544000,5.0,1,https://sg-test-11.slatic.net/p/6adaf36a5613503b9b5f5c8b8124c2e6.png,BENY Store,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i2619997442.html
"Châu Âu và Mỹ dày gót dép, đế dày mở ngón chân Flip Flops, thời trang vuông Toe cao gót",126386,999999,,,https://vn-live-01.slatic.net/p/42b5d20af38e2d5eebff68f9f334d76c.jpg_webp,FEEDMALL,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i2522132908.html
48H AFTER Flip Flops Outdoor Thick Bottom Wear-Resistant Beach Sandals Non-Slip Deodorant Soft Bottom High-End Men's Slippers,103950,164000,5.0,21,https://sg-test-11.slatic.net/p/51ebcac0207018810c33c430323d66a1.png,Border Store,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i3056767112.html
Slippers for men kasut selipar lelaki viral dewasa summer trend outdoor wear non-slip anti-odor beach sandals soft bottom casual house bathroom bath clip feet men's flip-flops,167077,221000,4.876923076923077,85,https://my-live-01.slatic.net/p/e7317e54e469db64bfd8b8096f7270dc.jpg,THCA,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i2304361528.html
Smile Pop Men's Flip-flops Summer Sandals for Men Soft EVA Summer Casual Beach Shoes Arch Support Recovery Antiskid Flip Flops,174127,175886,4.0,1,https://vn-live-01.slatic.net/p/7b77526adbd20dfa2821840d58e1a593.jpg_webp,LG shoe,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i3148983841.html
[Hot selling] 2025 Melissa flip flops flat bottomed clips on toe open toe beach hollow jelly shoes,559500,999999,5.0,1,https://sg-test-11.slatic.net/p/574bbc0cb1e9434161b7574f52092011.jpg,shentanci805,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i3030118605.html
FitFlop OPUL SLIDES Ladies Casual Slides Flip-Flops Summer New Stylish Versatile Women's Sandals,378870,689000,5.0,1,https://sg-test-11.slatic.net/p/2d028f3c214619c8cce182bb4252b382.jpg,df5gggg,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i3101743114.html
New unisex Flip-Flops sandals With Super Soft Sole 3cm High For Men And Women High Quality  mellow unisex Bread Sole,341236,652000,,,https://sg-test-11.slatic.net/p/34ac9c1ebff4dbbca4392ad84aa773a6.jpg,gupian75393775715,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i2764798132.html
"LacePulse High-end flip-flops women wear non-slip thick-soled feet, fashionable soft-soled heightening beach sandals",86000,122000,4.7894736842105265,19,https://sg-test-11.slatic.net/p/f53dc81a61d7520cdad32cc449fb3f13.jpg,Lacepulse Store ,Flip Flops & Sandals,https://www.lazada.vn/products/pdp-i2895541633.html
