ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Giày tây da mềm cao cấp đế khâu sẵng size từ 38 đến 43 thời thượng,132000,195000,4.8100158982511925,1258,https://vn-live-01.slatic.net/p/2f32312c36d75cd8593d0819714b1684.jpg,Lesangshop,Formal Shoes,https://www.lazada.vn/products/pdp-i205768352.html
"Giày mọi nam - Giày  lười nam da bò cao cấp , đế khâu 2 lớp siêu đẹp chống nước siêu bền -p1",139000,229000,4.490678598061148,1341,https://vn-live-01.slatic.net/p/e4aea533c6af0a3362bfa5422e665f10.jpg,GIÀY DA NAM 1581430965,Formal Shoes,https://www.lazada.vn/products/pdp-i866018521.html
VASIBAEN  Giày da nam Giày thường Giày đế bằng Giày nam trang trọng,125100,276800,4.6055363321799305,289,https://sg-test-11.slatic.net/p/2455a9bae82ec973bcd48ce4878d1a8c.jpg,VASIBAEN Shoes,Formal Shoes,https://www.lazada.vn/products/pdp-i2678210425.html
[HCM]Giày tây nam da mêm và đế khâu chắc chắn 2 màu nâu và đen lịch lãm (MT20),99000,180000,4.694915254237288,59,https://vn-live-01.slatic.net/p/3a2b329207f5386a4bcfe38fd0bd17f0.jpg,MINH TUYET SPORTS,Formal Shoes,https://www.lazada.vn/products/pdp-i435024513.html
Giày Tây Nam Đế Khâu Siêu Bền [QĐ] Thiết Kế Chỉn Chu Tỉ Mỉ Kiểu Dáng Thời Thượng Sang Trọng,129000,200000,4.832,375,https://sg-live-01.slatic.net/p/bb17f6714d775397085297eb3c98a677.jpg,SANGSPORTS,Formal Shoes,https://www.lazada.vn/products/pdp-i1794653114.html
"Giày tây nam không gót, da mềm đế khâu sẵn size 39 đến 43",94000,150000,5.0,16,https://vn-live-01.slatic.net/p/b4aa72f30e8b93b81191e93e25d50145.jpg,Lesangshop,Formal Shoes,https://www.lazada.vn/products/pdp-i3125387075.html
[HCM]Giày tây nam da mềm đế khâu( hàng hộp) sản phẩm hỗ trợ đổi trả trong 7 ngày,119000,190000,4.752252252252252,2219,https://vn-live-01.slatic.net/p/4188fdb0dd682529f3a0b5f6b2e3724e.jpg,SANGSPORTS,Formal Shoes,https://www.lazada.vn/products/pdp-i397808476.html
Giày tây nam tăng chiều cao 5cm da mềm đế khâu,179000,350000,4.902439024390244,41,https://vn-live-01.slatic.net/p/bd5bef308dc08b9900e6ff0099e6e984.jpg,Lesangshop,Formal Shoes,https://www.lazada.vn/products/pdp-i3020982084.html
Giày tây nam da mềm đế cao đã khâu đế giày oxfords size từ 38 đến 43 thời thượng,122000,250000,4.931034482758621,87,https://vn-live-01.slatic.net/p/fe5ce445245343ca468cfbb45698de86.jpg,Lesangshop,Formal Shoes,https://www.lazada.vn/products/pdp-i2365320133.html
"Giày tây nam da mềm cao cấp ,đế khâu siêu bền, sang trọng lịch lãm,phong cách, siêu bền đa dụng- QĐ",129000,199000,4.5,7,https://sg-test-11.slatic.net/p/a435c4acbcd599eb039b3e44be6dc072.jpg,GIÀY DA NAM 1581430965,Formal Shoes,https://www.lazada.vn/products/pdp-i2552700457.html
"Chunky Derby da nam thời trang INICHI G1112 đế cao 4,5cm",343000,499000,4.955555555555556,45,https://vn-live-01.slatic.net/p/a8297e1f9e32d9ae9b89fc5a00ca1730.jpg,inichistore,Formal Shoes,https://www.lazada.vn/products/pdp-i2119694399.html
Giày Đốc Nam Da Bò Nappa Cao Cấp Màu Nâu Patina SIGOURNEY Đế Kếp SDR07 Bảo Hành 18 Tháng,615000,860000,4.882352941176471,17,https://vn-live-01.slatic.net/p/1d4e3e2181f5920e966c1d1d2c45acd6.png,SIGOURNEY.vn,Formal Shoes,https://www.lazada.vn/products/pdp-i2249326050.html
Sigourney Cheap Lace-Up Men's Western Shoes Derby Style for Office Workers Black Sig-04 18-Month Warranty,397000,595000,4.89,100,https://vn-live-01.slatic.net/p/599044e935a98dbefe0bd52cc0369e12.png,SIGOURNEY.vn,Formal Shoes,https://www.lazada.vn/products/pdp-i2185843298.html
