ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"ÁO NỈ, ÁO KHOÁC HOODIE ĐEN SIÊU SÀNH ĐIỆU NAM NỮ 2025 SÀNH ĐIỆU - TOKYO FASHION",46000,100000,4.368421052631579,38,https://vn-live-01.slatic.net/p/95e1bf6251ddabf4dacbb22f4bb551b8.jpg,tokyo.shop,,https://www.lazada.vn/products/pdp-i3035822544.html
Áo hoodie khoác nỉ Saigon Phantom - Team Flash - Free Fire - one piece,47300,,,,https://sg-test-11.slatic.net/p/53334c661d201f59f86372fc56682a43.jpg,ADT Store3,,https://www.lazada.vn/products/pdp-i3272189410.html
ÁO KHOÁT HOODIE TRƠN DÂY KÉO SÀNH ĐIỆU - ÁO CHỐNG NẮNG PHONG CÁCH UNISEX SÀNH ĐIỆU - TOKYO FASHION,52000,100000,4.611607142857143,224,https://vn-live-01.slatic.net/p/621dc1e2b5d6947e9ae2157bfed5a7bb.jpg,tokyo.shop,,https://www.lazada.vn/products/pdp-i2427684900.html
"ÁO KHOÁC HOODIE NAM NỮ UNISEX CHẤT NỈ QUỶ ĐẦU SỪNG DÀY PHOM FROM RỘNG CHỐNG LẠNH, NẮNG NÓNG, THU ĐÔNG NHẬT BẢN CAO CẤP- TOKYO FASHION",46000,90000,4.621951219512195,82,https://vn-live-01.slatic.net/p/1d18ae1ba7757244994de5e14155d97a.jpg,tokyo.shop,,https://www.lazada.vn/products/pdp-i974244522.html
"ÁO KHOÁC HOODIES NAM NỮ NASA HÀN QUỐC CHẤT NỈ DÀY PHOM FORM RỘNG CHỐNG NẮNG, NÓNG ĐÔNG HÈ HOT TREND",19900,60000,5.0,1,https://vn-live-01.slatic.net/p/f01ed972f46164e412f304fcdaf0d0b0.jpg,Sài Gòn Fashion,,https://www.lazada.vn/products/pdp-i2135954435.html
PatPat Toddler Boy Road Vehicle Print Hoodie Sweatshirt,189200,316000,4.769230769230769,28,https://sg-test-11.slatic.net/p/715a45e088d24bd38ee218fa7853eab9.jpg,PatPat,,https://www.lazada.vn/products/pdp-i3065242696.html
Zipper Hoodie Jacket Embroidered Logo 336 Pe Felt Fabric with Large Hat from Loose Korean Style Hot Trend. Xut,98010,198000,4.754491017964072,834,https://vn-live-01.slatic.net/p/1231f48a5e55c9a5104ab08c65a8c36c.png,BON_NEW_FASHION,,https://www.lazada.vn/products/pdp-i2109943927.html
ÁO HOODIE IN NEW YORK 199X SIÊU ĐẸP NHIỀU MÀU NHIỀU SIZE,99000,160000,4.813953488372093,129,https://sg-live-01.slatic.net/p/049ae755ad970a2d22a00abfffe6d6d2.jpg,B&B_Store,,https://www.lazada.vn/products/pdp-i1761165773.html
ÁO KHOÁC HOODIE NAM NỮ CHẤT NỈ ESSENTIALS NỈ DÀY PHOM FROM RỘNG CHỐNG LẠNH NẮNG NÓNG ĐÔNG HÈ UNISEX 1HITSHOP 2024 - DUBAI FASHION,46000,90000,4.197814207650273,1830,https://vn-live-01.slatic.net/p/89f3a32d0056bf2928df7a28bce134b6.jpg,Dubaishop,,https://www.lazada.vn/products/pdp-i1557986819.html
Men's hoodie - Men's hoodie men's and women's matching letter print,141000,302000,5.0,17,https://sg-test-11.slatic.net/p/b460592a6221a51d31d1235cd18af6a8.jpg,LIVE GREAT,,https://www.lazada.vn/products/pdp-i2930176483.html
SINRANSINYA丨Men's hoodie - Heavy solid hooded hoodie unisex New winter fleece and thick fashionable hoodie Thermal top,183000,386000,4.55,20,https://sg-test-11.slatic.net/p/51b6b3da9984ca78b73da033e07085a4.jpg,SINRANSINYA Shopping Mall,,https://www.lazada.vn/products/pdp-i2761879360.html
Ready Stock CHUMS new casual classic printed men's and women's hooded sweatshirt,144136,283667,5.0,4,https://my-live-01.slatic.net/p/ac35cc3b7aa4661d2ee9d0a3b9267a1e.jpg,You are welcome supplly chain,,https://www.lazada.vn/products/pdp-i2842896014.html
ÁO HOODIE TRƠN NAM NỮ (NHIỀU MÀU) SIÊU HOT,79000,99000,4.759588400374182,1069,https://vn-live-01.slatic.net/p/f7dc30adc09b5a8292b3d6a91869c102.jpg,KaChuch,,https://www.lazada.vn/products/pdp-i1033120048.html
Star Trek 3D Hoodie Cosplay Costume Anime Surrounding T-shirt Print Jacket Top Quality Brand COSERMART Available in Stock,299000,,,,https://filebroker-cdn.lazada.vn/kf/Sc215aeb2f6f1473cb89abaaa6c67c273A.jpg,Lazada Global,,https://www.lazada.vn/products/pdp-i3248416207.html
Áo khoác hoodie free fire [ TẶNG KÈM 1 NÓN ] rank thách đấu chất nỉ mềm mịn hình in sắc nét dành cho game thủ,149800,250000,4.866666666666666,15,https://vn-live-01.slatic.net/p/9dd4bf515b09e5e3958a99f52d2f4504.png,Sam Group - Áo Game,,https://www.lazada.vn/products/pdp-i1734559340.html
ÁO KHOÁC HOODIE NAM NỮ PEACE STAR CHẤT NỈ DÀY PHOM FROM RỘNG CHỐNG LẠNH NẮNG NÓNG ĐÔNG HÈ UNISEX CAO CẤP MỚI - TOKYO FASHION,52000,100000,4.54,250,https://vn-live-01.slatic.net/p/cc2165e231563c4b98c74a3baeec8247.jpg,tokyo.shop,,https://www.lazada.vn/products/pdp-i2042949271.html
SINRANSINYA丨Men's hoodie - Simple fashion hooded jumper Spring and fall casual loose student hoodie jacket,217000,458000,5.0,33,https://sg-test-11.slatic.net/p/f61c466b80bccc6c81427ef2874964a5.jpg,SINRANSINYA Shopping Mall,,https://www.lazada.vn/products/pdp-i2520627666.html
Lansboter American vintage sweatshirt men and women couple print casual simple hooded jacket,204000,438000,4.75,106,https://sg-test-11.slatic.net/p/177684c40beed23e902afbc994c32bfc.jpg,Lansboter,,https://www.lazada.vn/products/pdp-i2475359176.html
[SIÊU SALE HÈ+FREESHIP MAX 15K] Áo Hoodie Real Madrid Áo Khoác Nam Dài Tay,80100,,4.875,8,https://vn-live-01.slatic.net/p/96d075c8c3caad2ee36608bf619b1f9e.jpg,ADT Store3,,https://www.lazada.vn/products/pdp-i2330325250.html
ÁO KHOÁC HOODIE TRƠN DÂY KÉO SÀNH ĐIỆU - ÁO CHỐNG NẮNG PHONG CÁCH UNISEX HOT TREND 2023 - TOKYO FASHION,52000,100000,4.502645502645502,189,https://vn-live-01.slatic.net/p/a0316f0ffad90e9a43981cc710fbc0fd.jpg,tokyo.shop,,https://www.lazada.vn/products/pdp-i2427743465.html
"ÁO KHOÁC HOODIES NAM NỮ IN HÌNH TÌNH YÊU CỦA MÈO HÀN QUỐC CHẤT NỈ DÀY PHOM FORM RỘNG CHỐNG NẮNG, NÓNG ĐÔNG HÈ HOT TREND",19900,80000,,,https://vn-live-01.slatic.net/p/eb45fbbd383716b80ed80804df3fefe3.jpg,YES FASHION,,https://www.lazada.vn/products/pdp-i2206331792.html
ÁO HOODIE NỈ BÔNG CÓ MŨ IN HỌA TIẾT CHỮ ATHANOR KÈM CÂY THÁNH GIÁ CỰC CHẤT PHONG CÁCH HOT TREND 2023 - TOKYO FASHION,52000,100000,4.4,10,https://vn-live-01.slatic.net/p/a3fcbd9362af4ea4c2f55e1c5cd3df73.jpg,tokyo.shop,,https://www.lazada.vn/products/pdp-i2468334628.html
"High Collar Hoodie, Street Style Ninja Hoodie High Quality Menswear Men Women Long Sleeve Black Face Covering Hoodie",159000,250000,,,https://sg-test-11.slatic.net/p/7a89b1c701ca28508d5aab0b8d238fab.jpg,MiggPOLO,,https://www.lazada.vn/products/pdp-i3266526352.html
"Áo Hoodie Jujutsu Kaisen, Áo Anime in hình Gojo Satoru mẫu mới cực chất",171840,,5.0,1,https://vn-live-01.slatic.net/p/75bf622784242d058f983a68caf554bf.jpg,ADT Store3,,https://www.lazada.vn/products/pdp-i2156398997.html
"ÁO KHOÁC HOODIES NAM NỮ TODAY? HÀN QUỐC CHẤT NỈ DÀY PHOM FORM RỘNG CHỐNG NẮNG, NÓNG ĐÔNG HÈ HOT TREND",19900,60000,,,https://vn-live-01.slatic.net/p/d3438e8655b09896a578ebe43e759aa7.jpg,Sài Gòn Fashion,,https://www.lazada.vn/products/pdp-i2135928320.html
NEW BST ÁO HOODIE TOKYO REVENGERS MIKEY - MANJIRO - SANO DRAKEN ANIME,99975,,4.545454545454546,11,https://vn-live-01.slatic.net/p/bc077388ad1a095d8c66f3cb7102db82.jpg,Xưởng may áo phông giá rẻ,,https://www.lazada.vn/products/pdp-i1783701689.html
IELGY plus size Cotton Hoodie Men's New Pocket Hoodie,255344,547492,5.0,0,https://sg-test-11.slatic.net/p/2c22609abef3d6e99ec890f134a7dea1.jpg,IELGY Men's Wear,,https://www.lazada.vn/products/pdp-i2907504516.html
ÁO KHOÁC HOODIE NAM NỮ CHỐNG NẮNG ĐÔNG HÈ UNISEX KIỂU MỚI MẶT QUỶ ĐỎ ĐẦU SỪNG CHẤT NỈ DÀY PHOM FROM RỘNG HOT TREND 2021- DUBAI FASHION,46000,90000,4.536231884057971,276,https://vn-live-01.slatic.net/p/ac6d2e8d59d1f5544a4464d54389f85d.jpg,Dubaishop,,https://www.lazada.vn/products/pdp-i869794802.html
"ÁO KHOÁC HOODIES NAM NỮ IN HÌNH TÌNH YÊU CỦA MÈO HÀN QUỐC CHẤT NỈ DÀY PHOM FORM RỘNG CHỐNG NẮNG, NÓNG ĐÔNG HÈ HOT TREND",19900,60000,5.0,0,https://vn-live-01.slatic.net/p/02cb92780ddbe0f8e182cfed13c9389a.jpg,Sài Gòn Fashion,,https://www.lazada.vn/products/pdp-i2134728498.html
MOLAN New men's hoodies Large-size loose-fitting sweatshirt Handsome print for teenagers,156000,341000,4.956086286594761,1298,https://my-live-02.slatic.net/p/241bad1437135c5c61a0b2e5101da1f9.jpg,MOLAN Shopping Mall,,https://www.lazada.vn/products/pdp-i2364485530.html
MOLAN Men's loose casual hooded sweater jacket Zip up non-fleece hoodie,118000,259000,4.9939024390243905,164,https://sg-test-11.slatic.net/p/26c58a2812918eb43ddf7fe46e28e2e4.jpg,MOLAN Shopping Mall,,https://www.lazada.vn/products/pdp-i2395304512.html
ÁO KHOÁC HOODIE NAM NỮ UNISEX CHẤT NỈ QUỶ SAMURAI ONI VẢI DÀY PHOM FROM RỘNG NEW VIP CHỐNG LẠNH NẮNG NÓNG THU ĐÔNG NHẬT BẢN CAO CẤP- TOKYO FASHION,46000,90000,4.440366972477064,109,https://vn-live-01.slatic.net/p/b56cb4017fda9744fc05829014da61d2.jpg,tokyo.shop,,https://www.lazada.vn/products/pdp-i1455393087.html
