ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
[KÈM ẢNH THẬT] Áo blazer 3 màu 2 cúc dạng ngắn 2 lớp khoác ngoài phong cách Hàn Quốc T - A014,209000,289000,4.931506849315069,73,https://vn-live-01.slatic.net/p/5ed499de4c73ba7c86429018455609ba.jpg,Hinos Store,jackets_coats,https://www.lazada.vn/products/pdp-i2390511147.html
Summer Unisex UV Protection Lightweight Ice Silk Coat Sun Protection Clothing,57000,98000,4.526315789473684,83,https://sg-test-11.slatic.net/p/66e1ac38c1257b026fb56dbba30c13c3.png,STAR FRUIT MALL,jackets_coats,https://www.lazada.vn/products/pdp-i3157695839.html
"Silver Coated Fabric Wind Jacket (Waterproof and Windproof Fur-Lined Jacket for Warmth, Umbrella Jacket for Men and Women)",113000,190000,4.888803680981595,1304,https://filebroker-cdn.lazada.vn/kf/S6c5e521c0d574913a1ad3b46f29f6ee68.jpg,Thời Trang Nampo,jackets_coats,https://www.lazada.vn/products/pdp-i1932138930.html
ÁO KHOÁC JEANS NAM THƯƠNG HIỆU CAO CẤP VIET FASHION VF XANH ĐẬM V2,149000,298000,4.7368421052631575,19,https://vn-live-01.slatic.net/p/fb9aab5b198752b05ab6e7b5353cb686.jpg,VIET-FASHION,jackets_coats,https://www.lazada.vn/products/pdp-i3040100336.html
"Áo Khoác Kaki Nam Dày Nhiều Túi Chất Lượng Cao Siêu Dày Dặn Phong Cách Độc Đáo, Áo Khoác Nam Mùa Đông Dày Dặn M01",169000,399000,4.705699481865285,965,https://vn-live-01.slatic.net/p/751cbe7035a6b6884ab3350701d651e5.png,Xiem Shop,jackets_coats,https://www.lazada.vn/products/pdp-i1540185329.html
(Hcm) Flannel Jacket with Embroidered Logo with Zipper and Hood to Keep the Body Warm Extremely Good - Hottrend Genz Fashion Men's Fashion 1986,108000,194000,4.75531914893617,470,https://vn-live-01.slatic.net/p/39d8a3d09e2f68faf33fe9600b11a4c8.jpg,THOITRANGNAM1986,jackets_coats,https://www.lazada.vn/products/pdp-i2270114469.html
Men's two-layer middle age jacket ultra-soft and thin style coat outwear,135630,250000,5.0,9,https://sg-test-11.slatic.net/p/88901d8408e6f4255c774022a06f2e9a.jpg,CAMAVINGA,jackets_coats,https://www.lazada.vn/products/pdp-i2958777155.html
Men's Bomber Jacket with 3 Layers of Cotton Super Warm in Winter Men's Fashion 1986,153140,310000,4.690721649484536,98,https://vn-live-01.slatic.net/p/72152f20e14fe6237f354f9b9691ff05.jpg,THOITRANGNAM1986,jackets_coats,https://www.lazada.vn/products/pdp-i1997164341.html
"(18-52kg) Autumn and Winter Bomber Jacket for Boys, Bomber Jacket for Boys Aged 5-16 Years Old Model B, Thick Felt Baseball Jacket",83300,170000,4.909090909090909,33,https://vn-live-01.slatic.net/p/7666f79153dd40e0e8a6f6ede8e25616.jpg,Xưởng May Chi Chi 1,jackets_coats,https://www.lazada.vn/products/pdp-i2828659295.html
Men's Paddle Jacket with 3-Layer Cotton Hood Super Warm Winter Men's Fashion 1986,157092,318000,4.440476190476191,84,https://vn-live-01.slatic.net/p/d7d14dbd06cb89aae8a5f08f510059d6.jpg,THOITRANGNAM1986,jackets_coats,https://www.lazada.vn/products/pdp-i2039733385.html
