ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"[Only December 24-29, Free Tote Bag] Basics Men's Jeans, Slim Fit, Durable, Comfortable Fit, Flattering Coolmate Figure",439000,490000,4.932098765432099,810,https://vn-live-01.slatic.net/p/3c0dc321e76c679016b605d504c2e423.png,Coolmate,Jeans,https://www.lazada.vn/products/pdp-i2483798701.html
"quần bò jean nam dài đen xanh rách gối kiểu đẹp mẫu mới hot,chất jean co giãn chuẩn form giá tốt 25/06",121400,220000,4.926829268292683,82,https://vn-live-01.slatic.net/p/633a7bb797c43bd22d452e0e38e99145.jpg,Kay_store,Jeans,https://www.lazada.vn/products/pdp-i2493162755.html
Quần Jean Nữ Suông Trơn Dài Ống Rộng Lưng Cao Tôn Dáng,127710,258000,4.892857142857143,56,https://vn-live-01.slatic.net/p/4cbbbef1c3fe6bdd6ad4fdbcf09b4dac.jpg,Em Xinh Boutique,Jeans,https://www.lazada.vn/products/pdp-i3093747214.html
"Quần bò jean nam dài trơn nhiều màu xanh, xám khói và đen, chất co giãn tốt, form slimfit tôn dáng 25/06",121000,180000,4.827118644067797,295,https://vn-live-01.slatic.net/p/6a57294e0a7685b67249afa98fa4c30b.jpg,Kay_store,Jeans,https://www.lazada.vn/products/pdp-i2496526828.html
QUẦN JEAN NAM CHẤT BÒ ĐEN WASH TÚM GẤU UNISEX SHIMINAKE HOT TREND 2023 TK-209 TOKYO FASHION,113000,180000,4.075916230366492,382,https://vn-live-01.slatic.net/p/8387a0c788c4cbe5d5dc91f385662bf5.jpg,tokyo.shop,Jeans,https://www.lazada.vn/products/pdp-i297248174.html
Quần Jean Nam Quần Bò Nam Trơn CO GIÃN Hàng Công Ty Thiết Kế Cao Cấp,132000,296000,4.8076923076923075,104,https://vn-live-01.slatic.net/p/a0a7b15f0f95349498c20e91d95beafc.png,hungphuocfashion,Jeans,https://www.lazada.vn/products/pdp-i2468695601.html
Quần jean nam đen rách khóa gối chất bò co giãn loang màu form dáng skinny phong cách thời trang cá tính mẫu mới TANBEO-SHOP,78052,169000,4.542857142857143,35,https://vn-live-01.slatic.net/p/e8fe6a9047b8df50c4765baeac30b0b1.jpg,TANBEO-SHOP,Jeans,https://www.lazada.vn/products/pdp-i2212097793.html
Quần Jean Nữ 9 Tấc Xước Rách Lưng Cao Co Giãn Dáng Ôm Cao Cấp Siêu Hot Size 25-35,122000,278000,4.695652173913044,69,https://vn-live-01.slatic.net/p/048d91b9eb2552c880726d380e073860.jpg,hungphuocfashion,Jeans,https://www.lazada.vn/products/pdp-i2182824540.html
"QUẦN JEAN NAM CHẤT BÒ ĐEN NHÁM SƯỚC TÚM GỐI PHONG CÁCH NEW 2023 CHẤT LƯỢNG CAO, CO GIÃN NHẸ TK-351 - TOKYO FASHION",109000,180000,4.280085959885387,1396,https://vn-live-01.slatic.net/p/1b5a9d302234fa1f2d3a51d8ded767fa.jpg,tokyo.shop,Jeans,https://www.lazada.vn/products/pdp-i274164263.html
"Quần bò jean nam dài { XEM VIDEO THẬT } đen rách kiểu vẩy sơn cá tính đẹp hot, chất jean co giãn tốt form slimfit giá rẻ KAYSTORE 26/9",94000,200000,4.862654320987654,648,https://vn-live-01.slatic.net/p/0f93f72d06814d72b3014bc33071caf9.jpg,Kay_store,Jeans,https://www.lazada.vn/products/pdp-i2334951924.html
"quần jean nữ mẫu mới số RÁCH PHONG CÁCH, quần bò co giãn tốt jean rách fome chuẩn tôn dáng, Quần jean nữ lưng cao fome chuẩn, quần bò nữ chất giãn tốt có size đại big size đến 70kg mẫu phối rách thời trang",123750,250000,4.853018372703412,381,https://vn-live-01.slatic.net/p/37aad403c061d2010dbac0a1fee76c20.png,Xưởng Jean Thúy Duyên Cs2,Jeans,https://www.lazada.vn/products/pdp-i1628271490.html
"quần jean nam dài đen rách nhẹ thêu logo đẹp mẫu mới giá tốt,chất bò co giãn trẻ trυng KAYSTORE 26/9",122000,200000,4.901639344262295,61,https://vn-live-01.slatic.net/p/731b36dbfde2a5ef437c915a368ec2ac.jpg,Kay_store,Jeans,https://www.lazada.vn/products/pdp-i1947387594.html
QUẦN JEAN ỐNG RỘNG NAM NỮ UNIEX BỤI BẶM ĐƯỜNG PHỐ PHONG CÁCH HÀN QUỐC HOT TREND 2023 - TOKYO FASHION,122000,220000,4.649122807017544,57,https://vn-live-01.slatic.net/p/563e9615bac302456f13636172a2ec6d.jpg,tokyo.shop,Jeans,https://www.lazada.vn/products/pdp-i2352898154.html
