ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Kính lão gọng Hàn Quốc cổ điển có độ phân giải cao tròng vuông kính viễn thị nam nữ  Kính đọc báo cho người lớn tuổi đủ độ từ +1.00 - +4.00 mã Y1208 - kheshop,38108,66460,4.889275545713382,3162,https://sg-live-01.slatic.net/p/d0305f4729da6c7c4714749c2c0f84c4.png,Mắt Kính Thời Trang KHeshop,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i1694409845.html
"Men's and Women's Glasses Code 3032, Metal Frame, Glass Lenses, Anti-Ultraviolet Rays Uv400, Eyeglasses for Reading Books and Newspapers",72750,125000,5.0,4,https://vn-live-01.slatic.net/p/88da3cfe28d700335c0a7f1bbd7f660d.jpg,ferado vn,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i3215736903.html
"Kính lão đọc báo độ phân giải cao, form vuông, chân gọng dẻo mã Y815",52808,75450,4.9049180327868855,305,https://vn-live-01.slatic.net/p/bc4a38c8dc963e0760ff5356c5b2974d.png,Mắt Kính Thời Trang KHeshop,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2486942364.html
Kính đổi màu đủ độ cận form Clubmaster mã Y8048,92793,164285,4.935714285714286,420,https://vn-live-01.slatic.net/p/825e81a31dadaaf575f8f0b629b92db8.png,Mắt Kính Thời Trang KHeshop,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2393901750.html
Kính Cận Thị đủ độ từ -0.0 - -6.00 tròng TR90 đập không méo bẻ không vỡ chống bức xạ UV400 và ánh sáng xanh bảo vệ mắt mã Y806 - kheshop,38222,73170,4.9128237523689195,1583,https://sg-live-01.slatic.net/p/65f1176ec121cce645b63d180cb0e220.png,Mắt Kính Thời Trang KHeshop,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i1694498354.html
"Siêu phẩm kính đổi màu có độ cận thị thời trang form cổ điển, chống ánh sáng xanh, phù hợp Nam nữ mã Y23782",67522,100205,4.87962962962963,108,https://vn-live-01.slatic.net/p/9904632417c53131a4c41596b604dd2b.png,Mắt Kính Thời Trang KHeshop,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2469833018.html
OYKI Kính đọc kinh doanh dành cho nam giới Nửa vành Blue Light Barrier Tầm nhìn xa Chống mệt mỏi Khung kim loại Kính,78052,280000,4.8905930470347645,1956,https://sg-test-11.slatic.net/p/3901701ba0b7750d53d3f097929433f9.jpg,OYKI,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2390192671.html
"[MỚI - VOUCHER 15%] Kính cận thị nửa viền Clubmaster dáng đa giác mạnh mẽ, đủ độ từ 0 - -4.00 mã T8047",61647,118800,4.98,49,https://vn-live-01.slatic.net/p/322afaa4d6ccba6e03c0bbc4833b49bf.png,Mắt Kính Nam Nữ Các Loại,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2258160267.html
Kính Đọc Sách Bằng Titan Nguyên Chất Unisex TR90 Kính Máy Tính Toàn Khung Chống Tia Xanh +1.0 Đến +4.0 Diop Thấu Kính Hình Chữ Nhật Màu Trắng,27000,101000,4.923529411764706,208,https://filebroker-cdn.lazada.vn/kf/S6e58246583eb43138542140ee89a44f0p.jpg,GlobalLifestyle,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i3105692874.html
"OYKI Kính đọc sách chống ánh sáng xanh dành cho nam, kính nhìn xa hạng thương gia gọng thép không gỉ + 100 + 150 + 200 + 250 + 300 + 350 + 400",56615,243943,4.883229813664596,805,https://th-live-02.slatic.net/p/a647fcb5b4a04111e1a8d9b28cec5ecc.jpg,OYKI,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2030180502.html
Men's Glasses from +0.50 to +6.00 Degrees (Yellow Color),230000,350000,,,https://filebroker-cdn.lazada.vn/kf/Sbf60d05488ea427b876c9635e71d86fcP.jpg,Kính Mắt Đức Nguyên ,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i3169217653.html
Kính đen nam phân cực chống chói MERCEDES UV400 gọng kim loại cao cấp M1 POSHOP,159600,280000,4.979370249728556,921,https://vn-live-01.slatic.net/p/f97c1ad0e3b19cb0ef014f8598a3d0a0.jpg,Mắt Kính POSHOP,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i1095176822.html
"Kính cận thị form to, gọng Hợp Kim cao cấp đủ độ cận thị mã Y0902",88818,151648,4.9868421052631575,76,https://vn-live-01.slatic.net/p/d4998df0487b5c9f99ba8c42ba2ed261.png,Mắt Kính Thời Trang KHeshop,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2393936585.html
Ultra-Light Blue Light Reading Glasses Standard Fit Big Oval Frame Presbyopia Eyewear for Elderly Men and Women TF-Uss-VN,11000,22000,4.811320754716981,53,https://sg-test-11.slatic.net/p/fb57ce19f00c0ab028b17dd4c2740616.jpg,RussellTF,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i3039286693.html
"[Video+Ảnh Thật+Video Thật] Kính Giả Cận-Gọng Kính Kim Loại Chắc Chắn Siêu Bền Kèm Tròng 0 độ Bảo Vệ Mắt, Chống Ánh Sáng Xanh",95000,199000,5.0,9,https://vn-live-01.slatic.net/p/bc9ff35215f9dc5e14070831eeecd7b8.jpg,Since.1992,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i2399788488.html
"Kính Đọc Sách New Square 2025, Gọng Đen, Dành Cho Người Bị Viễn Thị, Nam Và Nữ, Độ Từ 0 Đến +4.0 Diop, Tròng Kính Trong Suốt",168000,219000,,,https://filebroker-cdn.lazada.vn/kf/Sc880e45512a74208808a4e53a55a3ea32.jpg,GlobalSuperBazaar,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i3254098004.html
Hawaii Fashion Blue Light Acetate Leisure Glasses Frame Men Vintage Round Prescription Eyewear Myopia Optical Eyeglass Frames,607746,760000,5.0,12,https://my-live-02.slatic.net/p/62b01f2e47e009cc0330269594637cff.jpg,Hawaii Store,Men's Eyeglasses,https://www.lazada.vn/products/pdp-i1016262969.html
