ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"Men's Fashion Rings, 3 Pieces, Free Size",69000,120000,,,https://vn-live-01.slatic.net/p/e1359c8ee03a0ad66449edfdc7feb5b2.jpg,Silver Strove,Men's Jewellery,https://www.lazada.vn/products/pdp-i3229336530.html
Lắc Tay Nam Đính Đá Bản To  Siêu Cấp   Đẳng Cấp VTCUBAN04,35890,95000,4.62037037037037,108,https://vn-live-01.slatic.net/p/e57efd97dadc6fb4db300d7f0ca2d1af.jpg,Rẻ mà Chất   Shop,Men's Jewellery,https://www.lazada.vn/products/pdp-i1386847858.html
PANPIA Silver Plated Fashion Snake Chain 5 mm Width Bangle Jewelry Trendy Men Bracelets,15371,27668,,,https://sg-test-11.slatic.net/p/64286dc7c12975e66a5efd21fb8fdf04.jpg,PANPIA Vietnam,Men's Jewellery,https://www.lazada.vn/products/pdp-i3011939043.html
"Round Earrings for Men and Women, Shiny Stainless Steel, 2.5mm Thick, All Sizes, Titanium Round Earrings, Not Black, Not Rusty, Cool and Personalized Men's Earrings, Men's Earrings |   Dandy",16900,32000,4.903846153846154,260,https://vn-live-01.slatic.net/p/ede8b9004512c594837d9889e1324d5c.jpg,Dandy - Unisex Accessories,Men's Jewellery,https://www.lazada.vn/products/pdp-i2340291955.html
[Hcm]Extremely Cool and Masculine Titanium Steel Men's Necklace 10mm Thick Ddc10Ly198,33000,109000,,,https://vn-live-01.slatic.net/p/16353af0c50e07173d7432b7c4ff4732.jpg,Rẻ mà Chất   Shop,Men's Jewellery,https://www.lazada.vn/products/pdp-i3261834264.html
"Lắc tay nam thép titan không gỉ, vòng tay nam đẹp ngầu cá tính, vòng đeo tay nam titannium cao cấp | Fancy",26700,62124,4.885542168674699,167,https://vn-live-01.slatic.net/p/899316f24583436d9bc716bd65742065.jpg,Fancy_vn,Men's Jewellery,https://www.lazada.vn/products/pdp-i2021325093.html
JULYHOT Hot 50-120Cm Quá Khổ Lớn Chunky Chuỗi Vàng Màu Vòng Cổ Hip Hop Punk Gothic Đá Mặt Dây Chuyền Nhựa Hiệu Suất Đảng Đạo Cụ,29980,53964,4.7272727272727275,11,https://sg-test-11.slatic.net/p/5bb5930212f58e7e38a79ea5f03af713.jpg,JULYHOT VN,Men's Jewellery,https://www.lazada.vn/products/pdp-i2905493658.html
Men's Black Leather Alloy Carved Bracelet Jewelry,35000,54000,4.5,126,https://my-live-02.slatic.net/p/8ee51e90622b1507dbc54aaaf45e1d30.jpg,GEN MALL,Men's Jewellery,https://www.lazada.vn/products/pdp-i516476848.html
Extremely Beautiful 8mm Zigzag Titanium Men's Necklace Made of Stainless Steel,97812,200000,4.62962962962963,27,https://filebroker-cdn.lazada.vn/kf/S10f7c56d3716453e902bf1009c7be974D.jpg,BOX WATCH,Men's Jewellery,https://www.lazada.vn/products/pdp-i2416667309.html
【small chrysanthemum】Men's Bohemia Wolf Tooth Pendant Leather Beaded Weaved Necklace Gift Jewelry,20000,34500,4.772277227722772,215,https://my-live-02.slatic.net/p/dec494719d9fa6239bce6613e9d758ea.jpg,Small Chrysanthemum,Men's Jewellery,https://www.lazada.vn/products/pdp-i1414604074.html
"Classy Gold Men's Bracelet, Fashionable and Personalized Ltvangcao10",29000,129000,,,https://vn-live-01.slatic.net/p/804cbe95942e375828e48ddebb3f4135.jpg,Rẻ mà Chất   Shop,Men's Jewellery,https://www.lazada.vn/products/pdp-i3256095394.html
Men's bracelets stainless steel stainless steel bracelet stainless steel cool stainless steel men's bracelets Korean-style cool men's bracelets-beauty Silk,51000,130000,3.0,1,https://vn-live-01.slatic.net/p/7b1d4fcb7aba123865e1c133057e9f70.jpg,Người_Đẹp_Vì_Lụa,Men's Jewellery,https://www.lazada.vn/products/pdp-i1969578612.html
