ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
QiaoYiLuo Fashion boots New thick-soled versatile height-increasing lapel knight women's boots,168000,463000.0,5.0,4.0,https://sg-test-11.slatic.net/p/80caf45301093f21d63164be256b9812.jpg,Amandad Store,boots,https://www.lazada.vn/products/pdp-i2873479776.html
"QiaoYiLuo Bốt Giá Rẻ, Bốt Cao Gót Xếp Ly, Bốt Cao Bồi Tây",149000,705000.0,,,https://sg-test-11.slatic.net/p/46efaf68268e5223ab8ecc155f596f9e.png,Amandad Store,boots,https://www.lazada.vn/products/pdp-i3279614519.html
QiaoYiLuo Bốt Ống Dài Giá Rẻ Bốt Nữ Thu Đông Tôn Dáng Gầy Bốt Hiệp Sĩ,189000,866000.0,,,https://sg-test-11.slatic.net/p/8deb4405f50f65b94c04dc0d4ecf698d.png,Amandad Store,boots,https://www.lazada.vn/products/pdp-i3279698221.html
Mosi | High Heel Thick Sole Slimming Western Cowboy Ankle Boots,280000,670000.0,4.44,27.0,https://filebroker-cdn.lazada.vn/kf/Sd678af251c9346bdbd6563c659676d0a7.jpg,MOSI Footwear,boots,https://www.lazada.vn/products/pdp-i3192345905.html
Bốt đùi nữ khóa sườn lót lông da lỳ mềm gót cao 5p BO18,169999,289000.0,,,https://sg-test-11.slatic.net/p/e89211848a1521427ae91f73d92840f5.jpg,NC'S SHOP,boots,https://www.lazada.vn/products/pdp-i2583711747.html
Designer Men Chelsea Boots Luxury Velvet Men's Ankle Boots High Quality Suede Leather Shoes For Men Dress Boots Botas De Hombre,380000,417000.0,5.0,1.0,https://sg-test-11.slatic.net/p/bb2f061e8c18accfb53b7cfa918e05ae.jpg,gyslesenwie1971,boots,https://www.lazada.vn/products/pdp-i2954426380.html
"Bốt đùi cổ V (loại 1) đế cao 3cm chất mềm siêu đẹp, Giày bốt đùi Full box siêu xinh MSP A12",175000,230000.0,5.0,2.0,https://vn-live-01.slatic.net/p/c4c25b0140d5855c8d291fd53b0238a3.jpg,GIAHAN'S STORE SHOES,boots,https://www.lazada.vn/products/pdp-i2237619476.html
"Giày Chealsea Boot Nam Cao Cổ Chất Đẹp Cao Cấp,Đế Khâu Siêu Bền, Tăng Chiều Cao 3cm Form Hàn Đủ size -Đen 2023",129000,250000.0,4.857843137254902,204.0,https://vn-live-01.slatic.net/p/f1705000d393f12da2bf8487b1085b0d.jpg,shopnam123,boots,https://www.lazada.vn/products/pdp-i2132106413.html
5cm high heel soft PU leather long boots casual women's boots breathable soft boots-latatclothing-Lama for clothing,269000,410000.0,4.5,2.0,https://vn-live-01.slatic.net/p/8a4e7615e7f919c4932c03f02919a28a.jpg,Lạt Lạt Clothing,boots,https://www.lazada.vn/products/pdp-i2627061984.html
XUJIA | Slimming Pointed Toe Stylish Knight Boots,454000,876000.0,4.833333333333333,6.0,https://filebroker-cdn.lazada.vn/kf/Sf2621d9ed0a34b7cb6efd3ef6933f427U.jpg,XuJia Shoes Store,boots,https://www.lazada.vn/products/pdp-i3191077598.html
[Tặng Đồng Hồ] Giày Bốt Nam Cao Cổ Da Mềm Không Có Dây Đế Cao Su Mềm Cao 5cm Bảo Hành Da 12 Tháng,228000,350000.0,4.85,20.0,https://vn-live-01.slatic.net/p/a5782b6c1c3836f54581d08b0489ee42.jpg,Mikhoi Garden,boots,https://www.lazada.vn/products/pdp-i2038581815.html
Ankle Boots 【 Real 】 2023 Guangzhou Winter Chelsea Cowhide High Top Men's Martin Boots Thickened meng9630-CB,784285,958800.0,5.0,2.0,https://sg-test-11.slatic.net/p/afa665b4a856e0bf2e97caf5afe2778f.jpg,meng9630,boots,https://www.lazada.vn/products/pdp-i2836322775.html
"Ccuj5491 Short Boots with Pointed Heels for Women High Heels for Kittens Spring and Autumn 2020 New Fall and Winter Boots Suitable for Dr. Martens Boots, Women",365952,600000.0,,,https://vn-live-01.slatic.net/p/5bd43006a4e0ab61a7388fcb62ed9743.jpg_webp,drye,boots,https://www.lazada.vn/products/pdp-i2590896164.html
"[JIFANPAUL | Warm and Stylish Men's High-top Martin Boots,JIFANPAUL | Warm and Stylish Men's High-top Martin Boots,]",155000,,5.0,4.0,https://filebroker-cdn.lazada.vn/kf/S965a5dd6513849cba352d0d76e1228d40.jpg,JIFANPAUL Global,boots,https://www.lazada.vn/products/pdp-i3197259777.html
Mosi | Thick Sole Black Mid-Calf Boots Women's Western Cowboy Martin Boots,338000,629000.0,4.634146341463414,48.0,https://filebroker-cdn.lazada.vn/kf/Sca16d3cb28b34b4b9f4ab1235f7f5f9cq.jpg,MOSI Footwear,boots,https://www.lazada.vn/products/pdp-i3192149702.html
