ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Áo sơ mi nam boy phố tay ngắn vải cotton thoáng mát trẻ trung sang trọng mẫu-ATC77SHOP,38532,119000,4.7555555555555555,180,https://vn-live-01.slatic.net/p/f5a53ebaff40cb5f97125cd8f6484caf.jpg,ATC77 SHOP,shirts,https://www.lazada.vn/products/pdp-i2408122984.html
[HCM]Áo sơ mi nữ dài tay kẽ sọc đen mã GST002 Thời trang ZANATA Chất vải mềm mịnthoáng mátthấm hút mồ hôi tốt,125000,180000,4.935483870967742,31,https://vn-live-01.slatic.net/p/23bc96fd93ef2398e562b0ace4e9f76e.jpg,FRANCI FASHION,shirts,https://www.lazada.vn/products/pdp-i826570751.html
Áo sơ mi nam trơn vải lụa quảng châu cao cấp mịn mát - chất vải thấm hút tốt - Form chuẩn công sở,85932,232000,4.709677419354839,62,https://vn-live-01.slatic.net/p/72e4ec66090fa5311a8c7ce3c3ab09af.jpg,Rich Kids Store 9999,shirts,https://www.lazada.vn/products/pdp-i2157349606.html
Áo sơ mi nam dài tay IN họa tiết vải lụa mịn chống nhăn mẫu mới nhất giá rẻ cao cấp,39000,99000,5.0,4,https://vn-live-01.slatic.net/p/e77a81764f71729b9d54c1c605a161e7.jpg,Ken_Store_1999,shirts,https://www.lazada.vn/products/pdp-i1939783723.html
Áo sơ mi nam tay ngắn một túi form rộng  cao cấp vải lụa GENALPHA vải lụa co giãn mềm mịn form rộng classic GEN140,59000,219000,4.925925925925926,539,https://sg-test-11.slatic.net/p/eb6b12f2de4d7aea874f6748f197785a.jpg,Gen Alpha,shirts,https://www.lazada.vn/products/pdp-i2465266262.html
Áo sơ mi nam dài tay Phối Đồ Hot 2023,129000,229000,5.0,23,https://vn-live-01.slatic.net/p/37c48da3035ddb8b09d4cc344f3bf221.jpg,shop x men,shirts,https://www.lazada.vn/products/pdp-i2106554916.html
Áo sơ mi nam dài tay vải đũi dày dặn phối hoạ tiết loang màu cao cấp phong cách trẻ trung sang trọng lịch lãm chuản shop T.HIỀN_STORE,49000,99000,,,https://vn-live-01.slatic.net/p/a0e5cfb91bdb10bbbb5a77360070eb73.jpg,T.Hiền_STORE,shirts,https://www.lazada.vn/products/pdp-i2261211195.html
Áo sơ mi nam dài tay vải lụa mịn dày dặn phối hoạ tiết sọc tay cao cấp thời trang trẻ trung sang trọng chuẩn shop HH_STOREE,49000,99000,5.0,1,https://vn-live-01.slatic.net/p/cad976d9ab7b87c45939e5cd79c84d61.png,HH_ST0REE,shirts,https://www.lazada.vn/products/pdp-i2417738602.html
"Big Size Men's Short-Sleeved Shirt with Pockets, Soft and Slightly Stretchy Silk Fabric, Large Size 45-100kg",69000,179000,4.808510638297872,94,https://vn-live-01.slatic.net/p/9b148b333669001dc661dff10e54dae6.jpg,K_STORE_96,shirts,https://www.lazada.vn/products/pdp-i3148405315.html
Áo sơ mi kiểu dáng basic TOPMEN chất vải kaki cao cấp nam nữ,119000,199000,4.806666666666667,150,https://sg-test-11.slatic.net/p/7aa5dfcb09cf2d380960fb1a1fefe79b.jpg,TOPMEN SHOP1,shirts,https://www.lazada.vn/products/pdp-i2409895229.html
