ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Hộp xi đánh giày 45g nhiều màu thương hiệu Pierre Cardin PCASPCC 001,146999,290000,4.7272727272727275,140,https://vn-live-01.slatic.net/p/83a48a87976baca9d52494eacf59624b.jpg,PIERRE CARDIN INTERNATIONAL,Shoes Accessories,https://www.lazada.vn/products/pdp-i1169446489.html
"Minsu shoe tree m2335 non-odor, moisture-free, keep shoe shape",230000,500000,4.857142857142857,42,https://vn-live-01.slatic.net/p/3d320e9f2f8b3656b89d371899c7c1d3.png,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2293262152.html
1 a Pair of Elastic Straps with Luxurious Stones Attached to Decorate Shoes to Prevent Heel Slippage,27000,36000,5.0,27,https://filebroker-cdn.lazada.vn/kf/S5fb3a03f18404a5c9336480771ae2060U.jpg,Myshine shop ,Shoes Accessories,https://www.lazada.vn/products/pdp-i2516234472.html
"Deodorizing Shoe Insoles with Mint and Mugwort Essence Minsu M2358 Breathable, Antibacterial for Men's and Women's Sports Shoes",22000,50000,4.866666666666666,15,https://vn-live-01.slatic.net/p/9dafa16681359761f940d0aafb668fc6.jpg,TOROPOW - MINSU Premium Store,Shoes Accessories,https://www.lazada.vn/products/pdp-i3065767815.html
Minsu shoe tree m2315 men women custom made shoe form holder end to end casual shape shoes organizer,22000,50000,4.910256410256411,348,https://vn-live-01.slatic.net/p/1875188abef7b5e58ae524b3f976b3bb.png,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2291453359.html
MYLORD Laces 100CM Boot Shoe Accessories Shoestring Leather Shoelaces Cowhide laces Shoe Rope,49000,84000,4.0,1,https://sg-test-11.slatic.net/p/9117bcb01c9df521c21ba12181dc4466.jpg,Mylord,Shoes Accessories,https://www.lazada.vn/products/pdp-i2593808375.html
Com bo 02 chiếc Đón gót giày- móc treo chìa khoá bằng sừng - TUẤN ĐỨC MỸ NGHỆ,41520,50000,5.0,30,https://filebroker-cdn.lazada.vn/kf/Se02d93f704a54e619e5d919ae44ea72dy.jpg,TUẤN ĐỨC MỸ NGHỆ STORE,Shoes Accessories,https://www.lazada.vn/products/pdp-i2643096917.html
"SeasTina Bamboo charcoal deodorizing insole absorbs sweat, deodorizes and breathable, super soft-soled fragrant leather shoes, spring and autumn insoles are thickened and comfortable.",19000,38000,3.8333333333333335,8,https://sg-test-11.slatic.net/p/f83cd4f7abffa08458b019967cbfeadc.jpg,SeasTina MALL,Shoes Accessories,https://www.lazada.vn/products/pdp-i3040560040.html
5PCS Anti-Fall High-Heeled Shoes Lace Shiny Rhinestone Decorative Belt Anti-Fall and Anti-Slip Adjustable Diamond Shoe Accessories,21300,42500,5.0,39,https://my-live-01.slatic.net/p/32c193b9a59d7b1287c94253455e89ef.jpg,Mingc-Fashion,Shoes Accessories,https://www.lazada.vn/products/pdp-i2666699352.html
Minsu M7020 Height Increasing Shoe Insoles Deodorant Antibacterial Height Increasing Insoles for Men's and Women's Sports Shoes,42000,100000,5.0,9,https://vn-live-01.slatic.net/p/4d69f409e493ea217f595c6157f3c49a.jpg,TOROPOW - MINSU Premium Store,Shoes Accessories,https://www.lazada.vn/products/pdp-i3067706218.html
Hot Sale 1PCS English letters Numbers Series Cute Cartoon Crocs PVC Jibbitz Shoe Charms DIY decorate Slipper Buckle/Button Accessories For boys girls kids Adults Party Versatile Gifts,3000,5000,4.965811965811966,303,https://my-live-01.slatic.net/p/cc421e9b69e4964dc5dc0683c36ae82e.jpg,LJLSTORE,Shoes Accessories,https://www.lazada.vn/products/pdp-i2187747585.html
200CM Self-adhesive Anti-slip Sole Stickers Mute Cushion Insoles Repair Outsole Insoles Men Women Shoes Wearable Pads Shoe Accessories,52600,104993,4.970588235294118,90,https://sg-test-11.slatic.net/p/6f2e66faa6636ee684d266e44f592251.jpg,Womenfashionstation,Shoes Accessories,https://www.lazada.vn/products/pdp-i2925143662.html
"Set of Accessories for Attaching Slippers, Jibbitz, Charms, Stickers for DIY Shoe Decoration Lovely Cartoon Giayzep.Store",30000,60000,,,https://sg-test-11.slatic.net/p/204763fa4f2b1b7d228c6e23cf890a0b.jpg,GiayZep.Store,Shoes Accessories,https://www.lazada.vn/products/pdp-i3034758680.html
JOSEN LIGHTING | Ultra Comfortable High Elasticity Shock Absorption Insoles,85000,104000,,,https://filebroker-cdn.lazada.vn/kf/Sbfddaefcfd0749cbb6b61be568cf33d92.jpg,josenlighting,Shoes Accessories,https://www.lazada.vn/products/pdp-i3233055904.html
Silicone Heel Protectors Stoppers Stiletto Dancing Covers Antislip High Heeler Bridal Wedding Shoes Accessories,8900,15600,4.959595959595959,199,https://sg-test-11.slatic.net/p/f45e3915d704cfa28c9ed6a1873aeaa3.jpg,Trendycollector,Shoes Accessories,https://www.lazada.vn/products/pdp-i2421572942.html
ritmato | Leg Alignment Correction Insoles O-Shaped Legs Outward Worn Knee Corrective Pads,174000,1311000,4.833333333333333,18,https://filebroker-cdn.lazada.vn/kf/Sa4416fff8aee4724900bc5f0ad94df5dt.jpg,ritmato,Shoes Accessories,https://www.lazada.vn/products/pdp-i3231397307.html
【Silent and Wear-resistant】20Pcs Silicone Heel Protectors Stoppers Stiletto Dancing Covers Antislip High Heeler Bridal Wedding Shoes Accessories,26400,52600,,5,https://sg-test-11.slatic.net/p/c46cc4f0bc29a1dff85e7edc79462a30.jpg,Mingc-Fashion,Shoes Accessories,https://www.lazada.vn/products/pdp-i2901369113.html
"1 meter shoe sole stickers, anti-skid shoes stickers, anti-skid rubber wear-resistant shoes protector qlh",22500,36000,4.738095238095238,42,https://sg-test-11.slatic.net/p/fc2e2d593f14f1b4b88d94381b497b61.jpg,QLHouse,Shoes Accessories,https://www.lazada.vn/products/pdp-i3079079323.html
"Miếng lót giày dán gót GOMTAT, đệm dày dặn êm chân, chất liệu cotton khử mùi kháng khuẩn - GOT-MAO-9002",8415,10000,4.963671128107075,523,https://vn-live-01.slatic.net/p/edb00ec886015703a203bbdd33c90b98.jpg,GOMTAT,Shoes Accessories,https://www.lazada.vn/products/pdp-i2394265675.html
1 Pair Elastic Shoe Laces Round Color Metal Lock Shoelaces Without Ties Women's And Men's Sneakers Lazy Shoes Lace Accessories,37000,54000,4.935866983372922,715,https://my-live-01.slatic.net/p/7b9ac47d730e3054a6ba4db3ad68f420.jpg,FanLing store,Shoes Accessories,https://www.lazada.vn/products/pdp-i1972642654.html
【Shop with Confidence】 Sandals Decorations Flower Shoe Accessories Removable Vacation Style Butterfly Orchid Shoes Charms Shoe Accessories,362078,471380,,,https://ae01.alicdn.com/kf/S642c7df9f35348dca7468dfcf433d4e6y.jpg,Toy Shoy & Stationers,Shoes Accessories,https://www.lazada.vn/products/pdp-i3273031590.html
ELGMK Bộ nhớ bọt chỉnh hình lót cho giày kháng khuẩn khử mùi thể thao đế chân chỉnh hình đệm chạy Giày duy nhất,8200,14760,5.0,1,https://sg-test-11.slatic.net/p/adc5b4c7d9922a18a8e84a23d31a1d65.jpg,ELGMK Vietnam,Shoes Accessories,https://www.lazada.vn/products/pdp-i2841307019.html
Men's Shoe Insoles Made of Soft and Comfortable Rubber Lgn2024C,17640,260000,4.916666666666667,12,https://vn-live-01.slatic.net/p/2e9fea7a04481a58ec010688c203e6fe.png,Hà Nam Giày,Shoes Accessories,https://www.lazada.vn/products/pdp-i1931446915.html
Lót Giày Chân Giày Đệm Khí Hỗ Trợ Vòm Hấp Thụ Sốc cho Giày Thể Thao Đế Chạy Bộ chống sốc Nam Nữ,8000,12000,4.943507588532884,1837,https://vn-live-01.slatic.net/p/99853321d7c99f4f89cafd780aeef501.jpg,807Txb21-2.Selection,Shoes Accessories,https://www.lazada.vn/products/pdp-i2528267084.html
Universal BOA Steel Wire Shoelaces Accessories Li 2 Knob Sports Shoe Repair Modification Suitable for All Models DIY Brand,178000,,,,https://filebroker-cdn.lazada.vn/kf/S97c974548a43420083579fe6e52996d4H.jpg,Lazada Global,Shoes Accessories,https://www.lazada.vn/products/pdp-i3252965949.html
[TOROPOW]] minsu m4028 men women genuine cowhide shoes breathable deodorant comfortable comfortable lining,42000,110000,4.907692307692308,65,https://vn-live-01.slatic.net/p/cbf57a3321d868f15ad908363ca22963.jpg,TOROPOW - MINSU Premium Store,Shoes Accessories,https://www.lazada.vn/products/pdp-i2038231426.html
"Minsu m5514anti-wide heel shell shoe pad protective pain-proof drop-heel helps to reduce the size of high heel shoes, men and women sneakers",15000,35000,4.955882352941177,136,https://vn-live-01.slatic.net/p/8ce19c124b88a785925529c5e8dacd85.png,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2665770517.html
JIFANPAUL | DIY Food Play Shoe Clips for Crocs Clogs,46000,90000,3.3333333333333335,3,https://filebroker-cdn.lazada.vn/kf/Sf66a790eba8b4ccf89272e282be0a13b1.jpg,JIFANPAUL Global,Shoes Accessories,https://www.lazada.vn/products/pdp-i3196402191.html
1 Pair No Tie Shoelaces Round Push The Spring Lock Sports Elastic Shoelace Suitable For All Shoes Lazy Laces Shoe Accessories,33000,46000,4.985148514851486,302,https://my-live-01.slatic.net/p/2ee0512022388a5a6656b472dcae9e9b.jpg,FanLing store,Shoes Accessories,https://www.lazada.vn/products/pdp-i2023881325.html
【Big-Sales】 Shock Absorption 4D Sneaker Insoles Anti-pain Soft PU Orthopaedic Insoles High Elasticity Sole Insoles Shoe Accessorie,223178,290810,,,https://ae01.alicdn.com/kf/S5bb286d87abb4306abc35d59259ce9c4i.jpg,Goodz mall,Shoes Accessories,https://www.lazada.vn/products/pdp-i3275893787.html
Very Cute Crocs Shoe Stickers - Random Shoe Accessories - Simple and Cute Crocs Jibbitz Shoe Button Accessories for Sandals,38220,79000,5.0,1,https://sg-test-11.slatic.net/p/dbbbb5fc7a9dc5a1f0d6b656fa2a1318.jpg,Hay Hay Cross,Shoes Accessories,https://www.lazada.vn/products/pdp-i3214544887.html
1PCS DIY Cartoon Italian Brainrot AI biology Tralalero Tralala PVC Tung tung tung Sahur Shoe Charms Accessories Decorate Kids Boys Party Gifts,3000,5000,,4,https://my-live-01.slatic.net/p/8dfab40ab6382e2334a0e16bd9520a0d.jpg,LJLSTORE,Shoes Accessories,https://www.lazada.vn/products/pdp-i3174452799.html
【Worth-Buy】 Thick Rope Automatic Shoelaces Without Crystal Swivel Buckle Laces Sneakers Kids 4mm Shoelace Shoe Accessories,243278,316940,,,https://ae01.alicdn.com/kf/S9b2da469253141c294757804e1581e4ep.jpg,Fancy collections,Shoes Accessories,https://www.lazada.vn/products/pdp-i3273136522.html
2Pairs TPU Heel Cap for Block Heel Protector Stopper Anti-Slip Noise Reduction Cushion Black Clear Slip-On Protectors Shoe Accessories,10600,21200,,1,https://sg-test-11.slatic.net/p/e8737b1671a14939201eccb5251538ba.jpg,Womenfashionstation,Shoes Accessories,https://www.lazada.vn/products/pdp-i3154506884.html
DIY Jewelry Flower Crystal Drill Shoe Charm Button for jibbits Personal Clog Shoe Decoration Accessories Summer,32353,53922,5.0,13,https://sg-test-11.slatic.net/p/723084bbcd46ba6cf5f0fef48505be8f.jpg,SKTSTAR,Shoes Accessories,https://www.lazada.vn/products/pdp-i2825219229.html
"Minsu M2358 Mint and Mugwort Essence Deodorant Shoe Insoles Absorb Sweat, Breathable, Antibacterial and Deodorant for Men and Women",22000,50000,4.932038834951456,103,https://sg-test-11.slatic.net/p/79704c4ed423493412c2033bccb038b8.jpg,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2841928891.html
Dây giày họa tiết chính hãng Enter Dragon bản new 2025,18000,36000,1.0,1,https://sg-test-11.slatic.net/p/851656916ed83355704d188a51b3206a.jpg,Enter Dragon,Shoes Accessories,https://www.lazada.vn/products/pdp-i3217046635.html
Heabety Giày trang trí chống thả dây đai gót chân cho giày cao gót có thể điều chỉnh chống trượt dây đai Dép Toe Ren Dây giày cao,16601,28798,,,https://sg-test-11.slatic.net/p/a2212a8926813638b770ada6c9f1ae8d.jpg,Heabety mall,Shoes Accessories,https://www.lazada.vn/products/pdp-i3180782807.html
Versatile 1PCS Silver Gold Metal English letters A-Z Decorate Rhinestone DIY Fashion Shoe Charms Accessories Girls Kids Unisex Party Unique Gifts,7680,15300,,90,https://my-live-01.slatic.net/p/4cfbd74f0c75581a6f4f3db1b0568347.jpg,LJLSTORE,Shoes Accessories,https://www.lazada.vn/products/pdp-i2505698370.html
Tặng 12 sicker Sticker gắn dép Crocs - Hình gắn dép lỗ siêu xinh [Có sẵn chân gắn],8730,15000,4.6,45,https://vn-live-01.slatic.net/p/33dce1ba2e90a3a836fc6ec3bd3b61ce.jpg,Cross Cá Sấu,Shoes Accessories,https://www.lazada.vn/products/pdp-i2104645430.html
Cây giữ form giày bảo vệ giày cao cấp bằng gỗ XIMO Shoe Tree CGFG03,219000,350000,4.916666666666667,108,https://vn-live-01.slatic.net/p/75df9c9cbb771d93265f31500f83958d.jpg,Phụ Kiện Giày Ximo,Shoes Accessories,https://www.lazada.vn/products/pdp-i1636816399.html
"100% MINSU M4028 Real Cowhide Shoe Lining Men and Women Breathable, Deodorizing, Smooth",42000,100000,4.894117647058824,366,https://vn-live-01.slatic.net/p/147100d13dd4af223f6eb22a65875532.png,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2291396591.html
Minsu m2355 original high quality non-slip rubber sports shoes sneakers deodorant breathable antibacterial,30000,78000,4.958172812328013,2104,https://vn-live-01.slatic.net/p/ff5b26ef81fe95ec436c7fa0f4e17733.png,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2291517101.html
"Minsu m5510 5D anti-wide heel stickers silicone bead spacer protector, anti-scratch, foot care, wide heel shoes, men and women sneaker Sports",15000,30000,4.911764705882353,306,https://vn-live-01.slatic.net/p/ef25ba356796b3b9bd7b628ff7b4ebb4.png,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2665786329.html
"Minsu m4016 men women Natural rubber sheep skin + sheepskin heel shoes cow leather breathable shock absorption, sweat absorption",50000,180000,4.945454545454545,55,https://vn-live-01.slatic.net/p/5c599b045ee25756be2175eec19ed34c.png,MINSU,Shoes Accessories,https://www.lazada.vn/products/pdp-i2896806849.html
