ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"Men's Khaki Shorts, Fashionable Above-The-Knee Style, Youthful Khaki Shorts",65100,150000,4.724137931034483,29,https://vn-live-01.slatic.net/p/4646b0321fd35b2537b79b17a56dd909.jpg,ZUKI shop TH,,https://www.lazada.vn/products/pdp-i3139950508.html
Men's Cotton Shorts for Comfortable Sleepwear Seven Boxer (Big Size),32000,60000,4.956592160673793,3087,https://filebroker-cdn.lazada.vn/kf/Se1a8466713e74c8085d417d9c4a02c99k.jpg,SEVEN BOXER,,https://www.lazada.vn/products/pdp-i2336290081.html
"Combo of 3 Shorts, Shorts for Men and Women, High Quality Velvet Khaki Fabric with Elastic Waistband, Cool, Soft and Smooth Qts08",65538,99000,4.7,10,https://sg-test-11.slatic.net/p/d5ddc2985ed88a5cd34e7f759c510af5.png,Tmshop 96,,https://www.lazada.vn/products/pdp-i3160099663.html
"Quần Đùi Nam . Quần Short , Quần Đùi Nam Trung Niên Mặc Nhà- Vải Kate Siêu Đáy Nem Mền Mại Mịn Màng Thoáng Mát- tannguyen shop",15000,32000,4.930555555555555,72,https://vn-live-01.slatic.net/p/f5bab0d074da31357c6214e7b70d8e3b.png,TANNGUYEN shop,,https://www.lazada.vn/products/pdp-i2168318344.html
"SHORT 1-  Chất liệu kaki mềm mịn, dầy dặn, mặc cực kỳ thoải mái, thoáng mái",87932,150000,4.904761904761905,63,https://vn-live-01.slatic.net/p/44aa5c6fe47a0d376c60ce3a300cdb6f.jpg,Midori Store - Đẳng Cấp Thời Trang,,https://www.lazada.vn/products/pdp-i2400127418.html
"SHORT 1- Quần short hộp nam đẹp - Chất liệu kaki mềm mịn, dầy dặn, mặc cực kỳ thoáng mát.",73780,150000,4.744292237442922,218,https://vn-live-01.slatic.net/p/afce3320d403557fea729460d0668f60.jpg,TitiShop68,,https://www.lazada.vn/products/pdp-i2399451228.html
Quần Short Co Giãn Làm Mát Thể Thao Dành Cho Nam Họa Tiết Trơn Bằng Vải Polyester Thích Hợp Cho Thể Thao Hoặc Mặc Thường Ngày Tại Nhà,28500,107400,4.879518072289157,415,https://vn-live-01.slatic.net/p/9204ec4745e2c4a9a8b464abcef05d8a.jpg,AChoice-KLS2023,,https://www.lazada.vn/products/pdp-i2507392346.html
quần short kaki vải nhập(dây kéo),55440,76000,4.6891891891891895,74,https://vn-live-01.slatic.net/p/af178a3ff8c767ce9c05e570893c587c.jpg,SAM SHOP_THỜI TRANG VIỆT,,https://www.lazada.vn/products/pdp-i2028737051.html
"Quần Short Kaki Nam (45-98 kg), Quần Short Nam AX Chất Vải Mềm, Nhiều Màu Trẻ Trung, Form Chuẩn",107910,169999,4.776119402985074,201,https://sg-test-11.slatic.net/p/031bf01b62f310203e972517f8d3ea2d.jpg,XƯỞNG SỈ TT,,https://www.lazada.vn/products/pdp-i2870068455.html
"Combo 3 Quần đùi Nam Nữ basic vải da cá coton , Thoáng mát đi chơi du lịch đi biển QTS02",53700,79000,4.9,10,https://vn-live-01.slatic.net/p/78a731b8874306f2057153ab96163975.png,Tmshop 96,,https://www.lazada.vn/products/pdp-i3143494381.html
"Quần đùi nam có size to đến 90kg, hàng loại đẹp",79000,85000,4.866552119129438,1746,https://filebroker-cdn.lazada.vn/kf/Sd4c2e3f477c6402696269051cf06ad58f.jpg,Thời trang nam_phong cách ,,https://www.lazada.vn/products/pdp-i2008226578.html
Quần Short KaKi Nam - Chất vải 100% Cotton,48000,,4.6909323116219666,783,https://vn-live-01.slatic.net/p/39ea519a9c41c2ee6ae496acbcd79933.jpg,Trùm Sỉ & Lẻ,,https://www.lazada.vn/products/pdp-i1504450151.html
"Quần short thun lạnh thể thao, quần đùi nam có 2 túi khóa kéo vải dày co dãn 4 chiều có BIGSIZE DUI01",41969,100000,4.8,15,https://vn-live-01.slatic.net/p/bca5acf41ebafb8e1cbe3b18b76a93d6.jpg,2808STORE,,https://www.lazada.vn/products/pdp-i2027630747.html
"(Bán Sỉ) Quần Short Jean Nam/Quần Jean Nam Căn Bản Cao Cấp QSJ01, Form Chuẩn Đẹp, Sang Trọng, Thoải Mái, Tiện Lợi",78210,99000,4.8,10,https://vn-live-01.slatic.net/p/1695ebb547093d0aae18c95348736d09.jpg,XƯỞNG SỈ TT,,https://www.lazada.vn/products/pdp-i2326403172.html
Combo of Men's Elastic Shorts with Patterns,149000,269000,4.897666068222621,557,https://vn-live-01.slatic.net/p/85a099642eab95e452a5992da58f9c3e.jpg,SEVEN BOXER,,https://www.lazada.vn/products/pdp-i2336143788.html
Quần đùi nam thun thể thao co giãn nhẹ mát có túi khóa kéo,49000,69000,4.839065541855938,3082,https://vn-live-01.slatic.net/p/439a4e932fa5565028d7164345dc0005.jpg,Diorgino,,https://www.lazada.vn/products/pdp-i1621592911.html
"Quần short Jeep, quần ngố, lửng nam chât liệu kaki túi hộp, phong cách thể thao",87000,145000,5.0,34,https://vn-live-01.slatic.net/p/487ccae829f5e4de12b603432c429e2f.jpg,zkshop68,,https://www.lazada.vn/products/pdp-i2648306210.html
"Quần short nam, Quần short chun nam cao cấp, chất liệu kaki dày dặn mềm mịn co giãn mặc bao thích bao thoải mái",84000,180000,4.684115523465704,1108,https://vn-live-01.slatic.net/p/a44c1026b6966ca532ab6c7495bb1162.jpg,D&L Fashion Style,,https://www.lazada.vn/products/pdp-i1166794952.html
Men's Shorts 2023 Summer New Casual Split Shorts Men's Loose Fit Quick Dried Surfing Resort Water Park Beach Pants Sports Fitness Quick Dried Pants,130811,240000,3.75,38,https://my-live-02.slatic.net/p/2508c64f57fb67f4d3c27f636dcc80d9.png,smkd,,https://www.lazada.vn/products/pdp-i2302402612.html
MOLAN Men's Shorts Loose Sports and Leisure Straight Men's Shorts,55000,113000,5.0,1,https://sg-test-11.slatic.net/p/ffbcac501b6328f67de73c54e81d7c7a.png,MOLAN Shopping Mall,,https://www.lazada.vn/products/pdp-i3089682875.html
Quần short thun nam ống rộng unisex phong cách đường phố có bigsize đến 100kg-  n/đ,23896,85000,4.652263374485597,486,https://filebroker-cdn.lazada.vn/kf/Scb53cb28cce8484bae334de7ce20e389t.jpg,Quần đùi thể thao Pifashion,,https://www.lazada.vn/products/pdp-i2112556349.html
Combo 5 Quần đùi nam/nữ  Q27 thun cotton form ngắn thoải mái VAZCO (CÓ BIGSIZE),148506,200000,4.808333333333334,120,https://vn-live-01.slatic.net/p/c299a5de7667db5bfd7f854aeb5d77dc.jpg,AMWEAR VIETNAM,,https://www.lazada.vn/products/pdp-i3037296187.html
