ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
Giày Thể Thao Thông Dụng Nam - Nữ Biti's BSM003900TRG/BSW003900TRG (TRẮNG),314000,350000,4.977777777777778,90,https://vn-live-01.slatic.net/p/eefab5180884a08f1ba61464592c9b4a.png,Biti's,,https://www.lazada.vn/products/pdp-i2745936656.html
Giày Thể Thao Biti's Nam Màu Đen BSM004400DEN,515000,545000,4.945205479452055,73,https://vn-live-01.slatic.net/p/a2eb721228c3670b69173f6b022d9ad5.png,Biti's,,https://www.lazada.vn/products/pdp-i3163486284.html
ORNGMALL New Men's Casual Sneakers Walking Shoes Lazy Comfortable Driving Athletic Shoes Sports Shoes for Men Slip-On Loafers Moccasin,143000,449438,4.900608519269777,585,https://my-live-02.slatic.net/original/ea21a27c98a8927d5d8bc63350c37005.jpg,ORNGMALL,,https://www.lazada.vn/products/pdp-i239179076.html
"Giày Nam, Giày Sneaker Nam Kiểu Dáng Trẻ Trung - Mẫu Mới",157410,310000,5.0,11,https://vn-live-01.slatic.net/p/2683a94c3098d70c95f6ba6b4e0052be.jpg,Solomon Shoes,,https://www.lazada.vn/products/pdp-i3009702684.html
TP Shoes Men Sneakers Korean Style Fashion Casual Canvas White Original Soft Low top All-match Shoes New Summer On Sale Flat Sneaker kasut sukan lelaki Kasut lelaki murah 22030801,195447,514678,4.875,48,https://sg-live-01.slatic.net/p/4b6c557e29087d9b2059be33c222496a.jpg,TOPEOPLE,,https://www.lazada.vn/products/pdp-i1758104620.html
Giày Thể Thao Nam Nút Vặn H081 Kiểu Dáng Thời Trang,167310,290000,5.0,7,https://vn-live-01.slatic.net/p/1229969db1f48935bc4916c3a7b476f0.jpg,Betino Sneaker,,https://www.lazada.vn/products/pdp-i3155193134.html
Giày Sneaker Nam Sush Trẻ Trung Thoáng Khí Tăng Chiều Cao - Đế Bằng - Shoes,135000,250000,5.0,5,https://vn-live-01.slatic.net/p/5867500e2b4d0a339b297667e93bacbf.jpg,GiayDep.98,,https://www.lazada.vn/products/pdp-i2859179731.html
Giày thể thao bata nam kiểu dáng basic in hình máy bay siêu đẹp,79000,149000,4.543478260869565,92,https://vn-live-01.slatic.net/p/9080d44f13655ee7a591c7050e497a3c.jpg,chieustore,,https://www.lazada.vn/products/pdp-i2004911046.html
Bata Molded Hole Shoes (Waterproof and Comfortable to Wear) (Available in Men's and Women's Sizes),59000,129000,4.868098159509202,652,https://vn-live-01.slatic.net/p/116002312ac78de4632af26ede8ad7e9.jpg,ShopDepDW,,https://www.lazada.vn/products/pdp-i2368831109.html
Giày Thể Thao Nam Giá Rẻ HT03,55000,79000,4.872727272727273,55,https://sg-live-01.slatic.net/p/4f44680cc749648d4ae85e4ad0c3ccdc.png,Zinki_Store,,https://www.lazada.vn/products/pdp-i1868917145.html
