ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"Thắt Lưng Corset Dây Rút – Thiết Kế Đơn Giản, Tôn Dáng Thanh Lịch – Phù Hợp Mọi Phong Cách",9000,13500,4.9393939393939394,99,https://vn-live-01.slatic.net/p/650143a4fcd5bb7bca5f48a391b91582.jpg,uReajORz.Selection,Ties,https://www.lazada.vn/products/pdp-i2542381509.html
Tất noel cho bé từ 1-12tuổi  tiết giáng sinh,9500,,,,https://sg-test-11.slatic.net/p/878fc801e315fb91fd2d38eb21167a52.jpg,MinMun Store,Ties,https://www.lazada.vn/products/pdp-i2904566280.html
"Ties for Boys and Students, Small Version, Caravat for Women and Men, Ready to Tie, Cheap Student Uniforms, 5cm 6cm C03",8216,18000,4.725,80,https://vn-live-01.slatic.net/p/92c609ab2c067340e3869197c61ef63f.jpg,King - Caravat,Ties,https://www.lazada.vn/products/pdp-i2310848577.html
King Men's Tie Men's Business and Groom's Tie with Pre-Tied Zipper Pattern Small Version 6cm Large Version 8cm [C020],23055,40000,4.8585365853658535,615,https://vn-live-01.slatic.net/p/db6e11665f52d73067558ffea4cf4b9a.jpg,King - Caravat,Ties,https://www.lazada.vn/products/pdp-i1323868509.html
68 Colors NEW 8cm Tie for Man 100% Silk Tie Luxury Striped Flower Business Neck Tie Suit Cravat Wedding Party Necktie Men Gift,47424,80000,4.965277777777778,244,https://my-live-02.slatic.net/p/afeb97ffcd9b8bb7f7ac843efe8aa58b.jpg,H TIE,Ties,https://www.lazada.vn/products/pdp-i2321824909.html
"[1 cuộn nhỏ ] Cuộn dây nilong buộc hàng, dây nilong cuộn nhỏ, dây chắc chắn, buộc được vật nặng, an toàn khi sử dụng",4540,9000,5.0,51,https://vn-live-01.slatic.net/p/6429f87107e5cc69fcd96d11f768ef72.jpg,SHOPKIMCHAU,Ties,https://www.lazada.vn/products/pdp-i1947182751.html
"Men's Self-Tied Tie with Pattern, 6cm 8cm Version, King Caravat for Office and Groom, Korean Style C54 C054",29169,55000,4.936893203883495,206,https://vn-live-01.slatic.net/p/5c8aba96b6dbfa226ba3d5d4e1388a38.png,King - Caravat,Ties,https://www.lazada.vn/products/pdp-i2310893673.html
New Formal Ties for Men Classic Silk Woven Paisley Cashew Flowers Party Necktie Fashion Slim 8CM Wedding Business Casual Gravata,69999,89998,4.988095238095238,110,https://ph-live-02.slatic.net/p/c62e2d62da603b8dc28cbef1cfd2ca82.jpg,erye,Ties,https://www.lazada.vn/products/pdp-i1258105026.html
JIFANPAUL | Black College Style Zipper Tie for Men and Women,42000,85000,,,https://filebroker-cdn.lazada.vn/kf/S5fa7b42cdddc4a91a45b9d06dc367c0fl.jpg,JIFANPAUL Global,Ties,https://www.lazada.vn/products/pdp-i3196930796.html
JCAAAP Cà vạt kẻ sọc cổ điển thời trang mới dệt hoa văn Cà Vạt Lụa cho nam,14121,25418,5.0,6,https://sg-test-11.slatic.net/p/3211203a9fe1cbeb8d87f44634cf03af.jpg,JCAAAP Vietnam,Ties,https://www.lazada.vn/products/pdp-i2750685522.html
