ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"IQANGEL Chic Felt Tote Bag for Women, Stylish and Versatile Handbag for Daily Use",6000,10000,,,https://sg-test-11.slatic.net/p/2751d902651203eb7a2d4e62cd6a363f.png,IQANGEL Shopping Mall,Tote Bags,https://www.lazada.vn/products/pdp-i3276410956.html
Túi tote Valu vải canvas bộ sưu tập nét Việt có khóa kéo và ngăn phụ đáy mở rộng,64000,68000,4.6,20,https://sg-test-11.slatic.net/p/9be1d32733ac542b423d415f655da3f2.jpg,ShopMrsTruong,Tote Bags,https://www.lazada.vn/products/pdp-i2636366704.html
"AOKANG Chic Felt Tote Bag for Women, Stylish and Versatile Handbag for Daily Use",18000,36000,5.0,2,https://sg-test-11.slatic.net/p/ff2a208cfb0fb5dbcbc3747ab183cd4e.png,AOKANG Store,Tote Bags,https://www.lazada.vn/products/pdp-i3153396178.html
Laid-back Style Woven Straw Tote Bag Hollow out Shoulder Bag Summer Casual Large Capacity Travel Vacation Underarm Bag,85400,124000,5.0,1,https://filebroker-cdn.lazada.vn/kf/S758a0c45625049508cb4213f15d02761m.jpg,TB FASHION STORE,Tote Bags,https://www.lazada.vn/products/pdp-i3175658792.html
Womens smooth soft PU leather tote bag lady business fashion large capacity tote bag-Nieve,58410,59000,,,https://vn-live-01.slatic.net/p/bbb82b76a53522c25603e462e7a43d32.jpg,Nieve,Tote Bags,https://www.lazada.vn/products/pdp-i2659373254.html
SeasTina Japanese lazy zipper bag ins artistic minimalist large capacity canvas tote bag,43000,52000,5.0,7,https://sg-test-11.slatic.net/p/022511231f5aa330d906a05b16af8cc2.jpg,SeasTina MALL,Tote Bags,https://www.lazada.vn/products/pdp-i3022463575.html
SeasTina Hellokitty Cartoon Canvas Bag Fashion Bag Women's Handbag Cute Commuter's All-Matching One-Shoulder Tote Large Capacity,38000,76000,4.666666666666667,47,https://sg-test-11.slatic.net/p/18a54959a41dc122e8926e19d1a3a289.png,SeasTina MALL,Tote Bags,https://www.lazada.vn/products/pdp-i3138793109.html
LunaShine Cute Hello Kitty Tote Bag with Cherry and Bow Prints,28000,56000,,7,https://sg-test-11.slatic.net/p/1746c4e72db445bdb941dc03161dacd6.png,LunaShine MALL,Tote Bags,https://www.lazada.vn/products/pdp-i3163662379.html
【LAKEBAO】 Thường đa túi Messenger Túi cho thời trang Nylon Vai Túi Lớn Túi xách du lịch mua sắm Tote PURSE,154100,300000,5.0,3,https://sg-test-11.slatic.net/p/c55939f64afc6c7adf908ea6a50f0aca.jpg,LAKEBAO Bags,Tote Bags,https://www.lazada.vn/products/pdp-i3124329092.html
Hftoy Cartoon Pattern Canvas Print Mini Handbag Office Worker Lunch Tote Bag Storage Bag,20788,37418,,,https://vn-live-01.slatic.net/p/6e05394da0e5b639e09480dfea646892.jpg,HFTOY Sports Store,Tote Bags,https://www.lazada.vn/products/pdp-i3051810552.html
Authentic PORTER Japan's New Yoshida Portable Tote Bag Travel Bag Multi-purpose Handbag Universal Shoulder Bag Japan 2024,550719,590000,5.0,2,https://sg-test-11.slatic.net/p/a103f8805f0d4e59de3658cc894a0360.jpg,tubv40 Shop,Tote Bags,https://www.lazada.vn/products/pdp-i2874537291.html
Retro PU Women Tote Bags Large Capacity Shoulder Bags Handbag Commuter Bag,164000,328000,,,https://sg-test-11.slatic.net/p/f0cca7d36a5ec35a70a4f3dcccabbbde.jpg,Deere Jack Store,Tote Bags,https://www.lazada.vn/products/pdp-i3041923895.html
GUOUqna Portable Large Capacity Tote Bag Transparent File Bag Textbook Homework Book Storage Bag Office Supplies Back To School Gift,31545,56781,5.0,3,https://sg-test-11.slatic.net/p/0128e9276fab8243cc7a08f730c294f0.jpg,GUOUqna Vietnam,Tote Bags,https://www.lazada.vn/products/pdp-i3137902551.html
Christmas Fabric Tote Bag - Christmas Santa Claus Printed Tote Bag.,49000,70000,,,https://vn-live-01.slatic.net/p/376170e3901d04963cfc1edd5e0cc0af.jpg,TIỆM TẠP HÓA 118,Tote Bags,https://www.lazada.vn/products/pdp-i3248586755.html
Huyoku canvas tote bags single shoulder large capacity Women bag students schoolbag travel laptop casual bag handbag,47161,84890,5.0,19,https://sg-test-11.slatic.net/p/b288e054647c5dbeab9e1946ac128c40.jpg,PANPIA Vietnam,Tote Bags,https://www.lazada.vn/products/pdp-i2838231062.html
STAR FRUIT⭐ Cute Hello Kitty Tote Bag with Cherry and Bow Prints,26000,42000,5.0,1,https://sg-test-11.slatic.net/p/4ee0e9e6552063a007ff4b568f1273d2.png,STAR FRUIT MALL,Tote Bags,https://www.lazada.vn/products/pdp-i3266609254.html
Hot Sale MceHKF Phim Hoạt Hình Di Động Tote Nhiệt Hộp Ăn Trưa Túi Nhôm Lá Văn Phòng Sinh Viên Bento Lưu Trữ Túi Cách Nhiệt Mát Túi Ăn Trưa Cho Trẻ Em,19798,35636,5.0,3,https://sg-test-11.slatic.net/p/f56e8e0a542b53cdc4a50ec7188134a5.jpg, MceHKF Vietnam,Tote Bags,https://www.lazada.vn/products/pdp-i2834700946.html
MENGMIAN | Boho Style Thick Multi-pocket Tote Canvas Bag,155000,245000,4.571428571428571,7,https://filebroker-cdn.lazada.vn/kf/Sec9d71c9fc8a4a49a870ae0fa304b6fbw.jpg,mengmian Global,Tote Bags,https://www.lazada.vn/products/pdp-i3213705195.html
1 PC High-capacity ​Foldable Button Shopping Bag Tote Bag Non-woven Fabrics Reusable Shopping Bag,5000,7963,5.0,5,https://sg-test-11.slatic.net/p/1a5e2ba4939675c6dd696a3e68a5b4ed.jpg,Sweet Girls25,Tote Bags,https://www.lazada.vn/products/pdp-i2937330022.html
Light soft leather single shoulder men's and women's Korean version tote bag short trip large capacity luggage ins leisure bag,238793,408990,5.0,2,https://sg-test-11.slatic.net/p/0d4a9366b9b4e712292368363ad9a6bb.jpg,CAOYUNER,Tote Bags,https://www.lazada.vn/products/pdp-i3177024310.html
Canvas bag lunch bag tote bag canvas women's hand bag,103000,207000,5.0,40,https://my-live-02.slatic.net/p/b499fb6955486fc850089127aecf2468.jpg,LEBI Shopping Mall,Tote Bags,https://www.lazada.vn/products/pdp-i1945853514.html
CHENJ Thời Trang Mới Túi Có Thể Gập Lại Mua Sắm Túi Tái Sử Dụng Hàng Tạp Hóa Lưu Trữ Túi Nylon Xách Tay Vai Túi Xách Du Lịch Tote Túi,37748,67946,5.0,1,https://sg-test-11.slatic.net/p/fc30668d61c23d199ac69089b76a3d54.jpg,CHENJ Vietnam,Tote Bags,https://www.lazada.vn/products/pdp-i2919398115.html
"Flower lunch box bag, high aesthetic canvas tote bag, student lunch box bag, hundred shoulder tote bag, portable lunch box bag, mother and baby bag",68000,126000,,,https://sg-test-11.slatic.net/p/673307e2dba3bad2c28c4dad491ff973.jpg,ELACCENT BAG MALL,Tote Bags,https://www.lazada.vn/products/pdp-i2896727654.html
