ten_san_pham,gia_sale,gia_goc,rating,so_review,link_anh,shop,category,url_san_pham
"Ví Ngắn Nam Nữ Giá Rẻ Nhiều Ngăn Nhỏ Gọn Bỏ Túi Dễ Thương, Ví Bóp Da Mini Nữ Ngắn Cầm Tay Thời Trang Hàn Quốc Cao Cấp",9800,14700,4.968737145207734,2431,https://filebroker-cdn.lazada.sg/kf/Sdf4cf632f2184710a77bf6a276f479b0V.jpg,COCOEPPS CHOICE.VN,Wallets,https://www.lazada.vn/products/pdp-i2491584690.html
"Ví ngắn nhỏ dễ thương, Túi đựng thẻ da PU Hello Kitty Anime thời trang dành cho nữ",9800,14700,4.95929018789144,958,https://vn-live-01.slatic.net/p/ba9a9ccb0857ea107d7a71c26108bba3.jpg,COCOEPPS CHOICE.VN,Wallets,https://www.lazada.vn/products/pdp-i2544355703.html
Men's Wallet [Buy 2 Free Shipping] Men's Leather Wallet / Men's Leather Wallet Factory Price with 3 Large Compartments 1 Zipper 7 Small Compartments Fits All Types of Documents Cheap Vi Tien/Bop Tien Wallet,26240,55000,4.877342657342657,7150,https://vn-live-01.slatic.net/p/dc7e5f8eadb7feecf323f460ff5d36ab.jpg,Xưởng Nịt Hữu Thu,Wallets,https://www.lazada.vn/products/pdp-i363308986.html
New Fashion Letter Hair Ball Decor Long Wallet Coin Pocket Long Wallet Bifold Women's Wallet with Multi Card Slot Women's Fashion PU Wallet Bags and Travel,22700,31800,4.9194899817850635,2745,https://filebroker-cdn.lazada.sg/kf/S69bf42209efc49d59a36efaf59ef3a41h.jpg,46WWGM.Selection,Wallets,https://www.lazada.vn/products/pdp-i2511411510.html
Men's Wallet [Buy 2 Free Shipping] Men's Leather Wallet / Men's Leather Wallet Factory Price with 3 Large Compartments 1 Zipper 7 Small Compartments Fits All Types of Documents Cheap Vi Tien/Bop Tien Wallet,29000,55000,4.742857142857143,70,https://vn-live-01.slatic.net/p/dc7e5f8eadb7feecf323f460ff5d36ab.jpg,Tổng Kho Hiệp Bình,Wallets,https://www.lazada.vn/products/pdp-i2943080888.html
"Ví Đựng Thẻ Bằng Thép Không Gỉ, An Toàn Với Công Nghệ Chống Đánh Cắp RFID, Nhiều Ngăn Tiện Dụng Cho Mọi Đối Tượng Sử Dụng",24552,40000,4.666666666666667,9,https://sg-test-11.slatic.net/p/52168df3e16de8baad58c6def670632a.jpg,Losoin Mart,Wallets,https://www.lazada.vn/products/pdp-i3159233447.html
Baellerry2022 New's Men's Wallet Lychee Pattern Leather Billfold Slim Hipster Cowhide Credit Card/ID Holders Inserts Coin Purses Luxury Business Foldable Wallet,40500,73000,4.854700854700854,217,https://my-live-01.slatic.net/p/ca476e42b9b3100453cbe8b28ffbdb8e.jpg,OU BANG Fashion Creator Store,Wallets,https://www.lazada.vn/products/pdp-i1986637891.html
Ví nam mini Classic dáng ngang nhỏ gọn nhiều ngăn đựng thẻ - Bóp cầm tay có cúc bấm VI2,57230,140000,4.806451612903226,31,https://vn-live-01.slatic.net/p/78bc23a34eb6ab8fb75529f7fc94884d.jpg,Siêu Thị TOP Mart,Wallets,https://www.lazada.vn/products/pdp-i1927866748.html
Long wallet with 2 compartments,43000,60000,4.714285714285714,14,https://sg-live-01.slatic.net/p/88b10ecfefeb9792038d05de277ccc4f.png,JOLITA,Wallets,https://www.lazada.vn/products/pdp-i1767497858.html
Ví nam da cao cấp nhiều ngăn tiện dụng,34900,70000,4.682242990654205,107,https://vn-live-01.slatic.net/p/cb35dedffa94d23993d5630cb2eef01e.jpg,Thành Đạt Shop17,Wallets,https://www.lazada.vn/products/pdp-i1322214034.html
"New 2024 European and American Zipper Fashion Wallet for Men and Women, Goya Coin Purse, Universal Card Holder, Genuine Leather Dog Tooth Card Holder",397086,417986,5.0,2,https://vn-live-01.slatic.net/p/786995b5847453a07a7e65e0f2605346.jpg_webp,Permanent38fd,Wallets,https://www.lazada.vn/products/pdp-i3147814256.html
Carhartt Wallet Waterproof Fabric Durable Short Wallet,92887,180000,5.0,1,https://sg-test-11.slatic.net/p/bd9b47076a903ec6cf0d0dc5837274d9.jpg,easea,Wallets,https://www.lazada.vn/products/pdp-i2414102285.html
CARHARTT Men's and Women's Long Wallet Card Bag Fold Wallet,128512,200000,5.0,2,https://sg-test-11.slatic.net/p/d51c29104df8512d8af10fb274a6d9a0.jpg,easea,Wallets,https://www.lazada.vn/products/pdp-i2413914465.html
Ví ngắn nữ mỏng dễ thương thiết kế đơn giản,19900,27900,4.901492537313433,1340,https://vn-live-01.slatic.net/p/e29bbc94b4bee365b8c41c1d83f6395c.jpg,46WWGM.Selection,Wallets,https://www.lazada.vn/products/pdp-i2525219885.html
Canamek Rfid Men's Thin Leather Bifold Money Clip Wallet Front Pocket Credit Card Holder,57419,103354,,,https://sg-test-11.slatic.net/p/cc786921cfeacb3b43f8f307e488e284.jpg,CANAMEK Vietnam,Wallets,https://www.lazada.vn/products/pdp-i3200785504.html
